"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
2493.17,2364.19,4411.29,4394.61,1588.43,1030.18,1529.41,3156.69,2820.87,1128.62,2488.29,1952.02,2476.52,1548.45,738.913,614.475,341.505,130.206,582.575,786.496,692.94,1089.81,1412.63,2386.2,1412.39,1986.68,1444.91,805.132,1043.92,788.575,801.309,504.222,391.474,693.429,1268.31,788.551,1801.9,574.1,1670.05,903.061,1995.11,1299.88,1684.7,766.386,1337.47,2045.72,2018.74,1056.75,1788.36,1926.38,2185.98,2502.23,1281.12,1332.8,1024.68,2189.62,466.444,1853.28,429.715,2930.28,1973.45,1092.99,2110.43,1815.45,1539.89,1235.75,889.896,1349.5
2843.93,2205.85,3767.71,2821.37,1673.02,1011.47,1500.23,2402.58,2377.58,1154.38,2365.3,1976.69,2313.9,913.468,664.387,644.591,234.231,90.7901,434.527,633.907,664.781,906.029,1297.78,1774.62,1135.47,2174.41,1736.76,688.354,1083.42,690.215,691.061,463.789,378.692,660.428,1295,647.615,1600.79,542.844,1462.4,825.489,1923.87,1179.13,1499.51,715.47,1143.11,1851.64,1999.08,891.645,1400.63,1653.33,2146.04,2113.24,1170.51,1113.49,1109.7,1864.89,390.891,1985.31,422.756,2924.84,1932.7,1124.57,2050.76,1863.29,1507.97,1589.66,1680.04,1028.12
3025.54,2673.16,3456.84,2659.49,2024.86,1153.61,1527.17,2592.52,2963.26,1026.58,2125.34,1980.3,2753.83,795.936,739.499,653.978,232.512,104.424,478.017,595.741,735.258,873.089,1311.33,1924.47,1356.71,2326.5,1569.6,719.929,1068.87,741.975,636.465,521.655,375.501,706.512,1286.25,700.047,1723.26,606.874,1354.48,760.386,1989.34,1335.82,1600.44,670.343,1514.55,2204.49,2058.93,1036.5,1591.1,1892.8,2226.34,2417.13,1098.9,1301.23,1127.98,1934.22,471.951,1660.35,418.82,2998.02,1810.04,1041.68,2085.16,1921.37,1443.82,1657.93,1106.45,452.987
2673.35,2953.7,3659.35,3056.79,1256.23,1011.7,1908.1,2823.63,2240.04,1592.91,2519.26,2209.08,2279,1111.66,608.158,677.999,212.494,115.816,434.141,668.192,664.972,822.452,1270.32,2056.94,1229.37,1986.29,1595.46,662.486,1012.24,787.596,764.902,449.447,388.232,535.955,1331.44,658.326,1738.87,574.074,1657.26,801.756,2006.12,1212.64,1497.5,696.519,1423.84,1811,2125.3,1037.13,1444.2,1765.45,2203.58,2026.19,1036.93,1334.88,1070.24,1746.75,491.772,1857.06,391.143,3029.5,1940.95,1085.25,1690.91,1944.23,1439.71,1326.55,1189.07,1834.93
2302.92,2841.24,4289.07,3784.2,1919.06,1254.77,1693.97,2183.65,2922.59,1519.06,2452.75,1910.64,2384.86,911.304,685.433,593.636,484.926,74.4511,455.176,699.485,860.931,1024.48,1514.77,2057.4,1358.81,2274.21,1706.24,867.167,1173.56,858.33,814.533,609.526,446.482,767.843,1487.19,743.517,2071.11,518.103,1669.66,876.368,1996.3,1406.18,1576.35,798.841,1231.91,2232.67,2283.45,1128.26,1461.73,2040.69,2530.72,2109.1,1234.64,1259.59,1052.83,1646.3,529.272,2282.99,436.426,3142.48,1889.78,1076.6,1914.97,1677.84,1458.06,1047.55,1476.58,1353.26
2276.47,2885.02,4938.21,2629.03,2210.66,1241.35,1273.62,2679.39,2591.1,940.117,2512.59,2058.09,2273.2,960.38,651.416,593.706,473.764,82.9404,505.551,718.768,750.239,902.824,1359.72,2051.9,1445.92,2235.26,1616.45,825.705,1082.29,881.974,807.082,535.254,354.571,760.628,1538.21,649.382,1790.17,599.642,1523.38,920.331,1893.78,1586.23,1789.11,795.39,1533.18,2072.9,2171.68,958.482,1325.05,1688.83,2130.68,2319.21,1211.1,1269.06,1060.14,1897.55,569.38,2017.05,445.815,3107.04,1872.65,1070.22,1946.58,1706.59,1189.23,1274.8,1089.19,1063.88
2096.56,2507.32,4501.12,2025.02,1730.41,1039.99,2051.41,2376.1,1622.78,1333.17,2798.06,1540.72,2340.82,647.248,621.661,600.386,307.071,89.9994,419.85,559.45,553.071,821.506,995.811,1522.18,1093.4,1955.85,1467.57,585.007,904.915,718.515,631.084,426.152,323.034,623.758,1093.4,559.131,1478.15,545.72,1235.19,798.373,1622.36,1223.34,1602.47,661.147,1410.69,1971.94,1858.21,843.877,1385.37,1696.48,1723.05,1804.05,943.924,1068.49,1086.1,1553.56,429.93,1748.46,396.76,2972.03,1859.14,1187.72,2084.32,2046.32,1464.77,1491.88,1441.69,882.625
2184.68,2021.98,4360.53,3447.16,1567.29,1526.49,2076.38,3075.46,2303.47,1471.93,2674,1906.54,2130.16,1083.37,521.025,646.832,475.372,74.1495,389.804,807.865,685.232,961.618,1252.16,1855.84,1258.89,2123.68,1607.61,645.085,1018,864.913,754.118,471.019,436.885,648.932,1295.66,755.814,1717.96,577.104,1519.11,764.107,1853.38,1393.69,1742.79,689.193,1450.72,2054.78,2406.94,1152.06,1516.73,2070.96,2421.94,1969.9,1110.71,1306.54,967.814,1927.13,485.395,1744.43,389.586,2902.85,1953.91,1214.89,1945.66,1807.85,1212.09,1245.49,1725.56,1120.84
2567.87,2922.23,3089.9,3928.42,1214.99,1274.53,1591.06,2758.99,2612.75,1169.62,2507.69,1936.13,2105.99,1013.95,614.648,442.924,557.145,56.9396,507.693,748.433,852.104,994.005,1151.54,2098.64,1244.16,2062.21,1587.99,747.847,1343.95,657.03,680.289,489.974,377.318,666.327,1274.41,743.144,1553.71,493,1530.45,790.007,1889.93,1204.2,1574.62,662.305,1397.39,1993.42,2226.74,1030.94,1563.7,1793.78,1907.05,2050.51,1130.93,1321.42,986.41,1648.97,549.101,1728.97,439.8,2765,1947.67,1172.57,2132.5,1963.43,1596.27,1749.09,1663.62,1312.16
3172.39,2624.05,3699.34,4017.19,1514.8,1242.1,1716.45,3171.45,2364.72,1568.43,2119.59,2008.55,2713.54,702.197,565.789,534.643,622.95,199.683,659.766,917.837,968.926,1029.67,1300.68,2198.26,1407.68,2471.32,1670.46,735.313,1386.37,791.107,811.003,568.472,431.718,857.736,1606.92,844.989,2226.51,672.327,1707.06,1049.36,2059.24,1352.02,1588.82,706.384,1374.28,2161.01,2519.86,1074.25,1584.43,1817.78,2306.28,2328.29,1317.65,1305.14,1170.09,2107.61,483.009,2079.99,518.453,3108.07,2184.98,1073.08,1991.3,1728.78,1234.61,1150.77,1076.48,1406.34
