"SB_ 1951","SB_ 1952","SB_ 1953","SB_ 1954","SB_ 1955","SB_ 1956","SB_ 1957","SB_ 1958","SB_ 1959","SB_ 1960","SB_ 1961","SB_ 1962","SB_ 1963","SB_ 1964","SB_ 1965","SB_ 1966","SB_ 1967","SB_ 1968","SB_ 1969","SB_ 1970","SB_ 1971","SB_ 1972","SB_ 1973","SB_ 1974","SB_ 1975","SB_ 1976","SB_ 1977","SB_ 1978","SB_ 1979","SB_ 1980","SB_ 1981","SB_ 1982","SB_ 1983","SB_ 1984","SB_ 1985","SB_ 1986","SB_ 1987","SB_ 1988","SB_ 1989","SB_ 1990","SB_ 1991","SB_ 1992","SB_ 1993","SB_ 1994","SB_ 1995","SB_ 1996","SB_ 1997","SB_ 1998","SB_ 1999","SB_ 2000","SB_ 2001","SB_ 2002","SB_ 2003","SB_ 2004","SB_ 2005","SB_ 2006","SB_ 2007","SB_ 2008","SB_ 2009","SB_ 2010","SB_ 2011","SB_ 2012","SB_ 2013","SB_ 2014","SB_ 2015","SB_ 2016","SB_ 2017"
94.212,92.9526,109.582,152.047,147.616,80.3683,50.5001,67.4464,93.6198,80.2589,64.5226,60.9259,49.4136,51.0797,40.4722,21.5185,5.51023,8.98769,13.934,27.6172,39.2314,44.6059,61.6903,84.2017,98.867,109.186,108.808,84.669,70.8805,61.4395,55.8984,47.6127,30.6837,26.7537,37.26,54.3679,59.5544,70.5,67.6555,73.0231,78.9644,90.096,89.1435,74.2078,70.2614,76.9977,84.9219,80.9584,78.0261,80.2471,99.1175,99.6389,96.1177,77.1887,66.985,58.6866,67.5749,48.5729,53.6937,52.5791,80.9106,84.7906,78.8597,82.5546,68.7899,62.4505,46.9894
75.3728,95.1576,109.48,137.388,116.872,66.4579,39.7997,54.7452,69.7364,60.7545,51.4214,52.8934,43.2985,35.3657,24.4937,16.1836,5.90094,7.55534,11.0346,21.9905,33.2033,39.2695,55.3057,73.9752,83.4028,95.848,109.943,91.9785,77.6847,66.412,57.9968,46.3767,29.3663,26.4582,38.1193,55.5551,57.527,67.1577,63.6266,68.8404,75.4781,87.5663,86.0976,72.0559,68.0942,72.8397,80.3822,78.8883,73.4891,71.5994,90.8057,94.9689,89.598,72.3325,62.383,55.8968,62.701,46.3146,55.6332,55.6145,85.4722,89.2693,83.4207,86.6987,74.2884,70.9699,65.5781
127.322,132.511,136.151,143.166,117.421,74.0328,47.7397,62.178,77.0059,75.9495,53.801,47.196,47.1652,46.087,26.4763,16.9789,5.63425,7.42965,11.4774,22.5702,32.9432,38.966,53.4239,73.9156,85.9441,102.446,114.089,89.8587,72.3516,62.5801,54.546,44.0175,29.1276,25.8684,37.5654,54.8934,58.6126,69.9316,64.7382,66.0797,72.7755,86.5571,87.6378,74.4151,70.9613,82.7501,92.8407,87.6712,80.4391,79.7773,99.7805,101.984,96.6459,76.7744,66.011,57.269,64.6234,46.3315,50.1171,51.5716,81.8689,83.5168,77.7583,83.3316,71.9928,66.8928,58.2187
93.166,104.71,125.286,140.941,119.675,68.088,41.7526,64.7333,81.4586,70.4218,65.2961,65.4093,55.4864,47.2654,32.2477,20.6282,7.55698,8.70815,12.2005,22.8716,34.1053,38.5426,51.724,73.8405,87.8338,99.2713,107.026,86.0675,71.0036,61.7501,56.8228,47.3443,30.6724,25.2426,35.1548,53.5386,57.2946,68.5994,66.9201,73.589,79.6164,90.1025,86.5099,70.6193,68.7783,75.7047,83.5224,82.731,77.4506,75.1292,95.2072,95.5396,85.7508,69.1078,62.2093,54.3231,60.4559,45.6259,52.28,53.7075,84.8293,88.4918,79.4201,78.9811,69.8015,63.7232,51.9098
80.0692,89.5979,114.915,144.326,137.537,84.2563,54.5001,62.7617,68.0517,73.6203,67.5721,57.9468,46.2072,36.9452,21.9301,11.7035,4.05025,8.85866,11.7997,22.8338,35.5633,44.0125,61.4609,82.8113,92.6029,105.288,114.06,92.9282,80.3768,69.4145,62.418,52.272,35.4434,31.0938,43.1755,61.4369,66.0296,78.107,71.5428,74.7542,79.0124,89.8672,89.3015,74.2114,69.3908,77.4311,89.2779,88.2058,81.1224,79.2746,104.011,103.858,92.4822,73.9557,62.9114,52.2355,56.3832,44.4307,56.5844,57.7937,86.0466,86.1119,76.8983,76.8648,63.3816,56.4,46.4009
77.2657,86.3985,118.465,160.203,126.008,85.2963,50.1324,59.6413,76.9974,70.8593,60.7197,59.996,48.5787,38.0634,21.294,10.26,4.59882,9.83705,13.2532,25.3142,37.3051,42.9028,57.4299,78.3458,91.0978,106.666,115.501,92.9785,77.8563,67.8895,63.0047,52.0889,33.3856,28.8504,43.065,62.0672,63.0079,73.5391,68.5846,72.1151,78.2352,91.0313,97.4773,83.5541,79.9454,87.6001,93.8869,88.6701,79.3911,72.8748,90.2302,92.9075,90.6012,72.6771,63.6162,55.2682,63.4261,48.0918,55.6474,57.1156,86.8196,88.1637,79.6634,80.555,65.6671,55.9019,46.9962
91.0606,95.3605,119.99,156.592,124.756,72.1952,47.8089,68.4739,72.1782,56.472,56.7376,58.2642,44.4396,39.2717,18.5426,10.7788,3.27344,6.78301,10.6814,21.3278,30.9491,35.0286,48.1902,62.9374,72.6156,87.5368,99.8944,80.5529,66.2759,57.9884,52.7132,42.8241,27.7566,24.5641,34.1661,49.4022,51.4348,62.2081,59.2925,63.0647,69.0591,79.5173,83.8229,73.4809,72.2915,81.4985,89.8649,84.6138,77.0303,75.2493,90.1987,86.0308,79.1771,63.2235,55.5123,51.2803,56.4742,42.5681,51.0775,53.7607,85.7052,91.2738,87.7878,94.0633,82.3033,75.9596,66.5522
83.1755,85.497,101.257,142.254,133.25,72.4614,53.1821,77.135,93.1694,76.7977,69.5321,67.4131,48.0923,34.0203,20.9582,10.1754,4.53298,9.62959,11.8322,22.6141,36.1203,40.9971,55.6436,73.1098,83.3345,95.5766,104.953,84.2185,67.684,59.5816,55.0877,46.0188,29.6843,26.104,36.4049,54.1714,58.5774,69.4561,65.4454,68.4309,72.0119,83.5123,87.0417,75.2252,71.0345,78.9207,90.1982,91.225,86.3058,83.9674,106.288,103.782,90.293,71.1986,60.9406,53.799,60.828,44.2605,49.4052,50.117,79.4387,84.4118,79.1521,79.8787,64.0823,54.6581,50.0197
102.129,109.006,124.59,139.557,133.428,71.9567,45.5637,62.1531,81.5975,72.1667,61.5562,56.8263,46.756,34.4831,18.6399,7.21655,3.52158,9.13248,12.4184,25.3522,39.0382,46.9641,61.0313,79.2472,91.4761,102.773,110.043,89.2828,79.5535,71.0431,60.4791,48.3345,30.5153,26.4604,37.4616,55.4468,57.8592,65.9899,63.0378,67.9839,74.8612,86.2319,85.3161,71.4354,68.2866,77.3776,87.0754,87.1005,82.8259,80.5502,96.5908,92.9236,84.801,69.8484,63.2904,53.5209,58.1532,43.3603,49.4372,50.7825,79.47,85.437,81.8388,88.8962,77.4991,74.3775,69.406
98.0879,107.041,117.398,144.097,134.279,74.4777,46.7194,65.8525,85.389,73.1403,63.5703,52.1626,44.4222,40.1941,20.3031,8.54557,4.26355,11.6967,17.9742,32.8128,47.2106,52.5269,65.5579,83.2335,93.5163,107.747,118.503,93.0405,78.636,69.8272,61.2556,51.0096,33.2745,30.5142,45.191,65.3809,71.6131,85.0351,77.9626,80.7287,85.5541,94.3527,90.4012,73.9009,67.2434,76.0351,89.0147,90.3088,83.5668,79.1439,96.4066,97.5873,92.5522,74.5022,63.4132,56.8423,65.1571,47.8222,55.9047,56.7691,86.7882,89.9392,79.8596,80.443,64.2118,53.4491,41.4597
