"","parameter","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6","Sim7","Sim8","Sim9","Sim10","Sim11","Sim12"
"40","mp$assess$idxMethod2","18","18","18","18","18","18","18","18","18","18","18","18"
"41","mp$assess$initM","0.145","0.145","0.145","0.145","0.145","0.145","0.145","0.145","0.145","0.145","0.145","0.145"
"42","mp$assess$k1Method","1","1","1","1","1","1","1","1","1","1","1","1"
"43","mp$assess$k2Method","1","1","1","1","1","1","1","1","1","1","1","1"
"44","mp$assess$kfGain","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"45","mp$assess$methodId","5","5","5","5","5","5","5","5","5","5","5","5"
"46","mp$assess$nSamples","100","100","100","100","100","100","100","100","100","100","100","100"
"47","mp$assess$retroYears","20","20","20","20","20","20","20","20","20","20","20","20"
"48","mp$assess$skipFails","""FALSE""","""FALSE""","""FALSE""","""FALSE""","""FALSE""","""FALSE""","""FALSE""","""FALSE""","""FALSE""","""FALSE""","""FALSE""","""FALSE"""
"49","mp$assess$spFmsy","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07"
"50","mp$assess$spMsy","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2"
"51","mp$assess$sp_initB","2","2","2","2","2","2","2","2","2","2","2","2"
"52","mp$assess$spPmFmsy","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07"
"53","mp$assess$spPmMsy","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4"
"54","mp$assess$spPsdFmsy","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005"
"55","mp$assess$spPsdMsy","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6"
"56","mp$assess$spRhoEiv","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95","0.95"
"57","mp$assess$spSurveyRel","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"58","mp$assess$t1Method","19","19","19","19","19","19","19","19","19","19","19","19"
"59","mp$assess$t2Method","45","45","45","45","45","45","45","45","45","45","45","45"
"60","mp$assess$iscam$unfished","0","0","0","0","0","0","0","0","0","0","0","0"
"61","mp$assess$iscam$minAgeProp","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"62","mp$assess$iscam$mDevPhz","3","3","3","3","3","3","3","3","3","3","3","3"
"63","mp$assess$iscam$mDevNodes","12","12","12","12","12","12","12","12","12","12","12","12"
"64","mp$assess$iscam$minAge","2","2","2","2","2","2","2","2","2","2","2","2"
"65","mp$assess$iscam$cutoff","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25"
"66","mp$assess$iscam$targHR","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"67","mp$assess$iscam$fixCutoff","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8"
"68","mp$assess$iscam$selxRenorm","2","2","2","2","2","2","2","2","2","2","2","2"
"69","mp$assess$iscam$priors$meanInitM","-0.79","-0.79","-0.79","-0.79","-0.79","-0.79","-0.79","-0.79","-0.79","-0.79","-0.79","-0.79"
