"","parameter","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6","Sim7","Sim8","Sim9","Sim10","Sim11","Sim12"
"161","mp$hcr$upperQuota","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5"
"162","mp$hcr$upperTrendPct","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9"
"163","mp$hcr$useDLL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"164","mp$hcr$useMLE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"165","mp$hcr$useSnow","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"166","opMod$allocProp","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)","c(0,0.7687,0.2313,0,0)"
"167","opMod$aMat50","2.2616","2.2616","2.2616","2.2616","2.2616","2.2616","2.2616","2.2616","2.2616","2.2616","2.2616","2.2616"
"168","opMod$aMat95","3.213166","3.213166","3.213166","3.213166","3.213166","3.213166","3.213166","3.213166","3.213166","3.213166","3.213166","3.213166"
"169","opMod$B0","45.6158","45.6158","45.6158","45.6158","45.6158","45.6158","45.6158","45.6158","45.6158","45.6158","45.6158","45.6158"
"170","opMod$baranovIter","8","8","8","8","8","8","8","8","8","8","8","8"
"171","opMod$baranovSteps","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)","c(0.5,0.3,0.5,1.,1.)"
"172","opMod$c1","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)","c(0.000184208185)"
"173","opMod$c2","c(1.999008)","c(1.999008)","c(1.999008)","c(1.999008)","c(1.999008)","c(1.999008)","c(1.999008)","c(1.999008)","c(1.999008)","c(1.999008)","c(1.999008)","c(1.999008)"
"174","opMod$dg","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)","c(0.0,0.0,0,0,0)"
"175","opMod$kYearsMbar","NULL","NULL","NULL","NULL","10","NULL","10","NULL","10","10","NULL","NULL"
"176","opMod$endM","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934"
"177","opMod$endMphase","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"178","opMod$endMrule","""mean""","""mean""","""mean""","""mean""","""mean""","""mean""","""mean""","""mean""","""mean""","""mean""","""mean""","""mean"""
"179","opMod$futureOption","3","3","3","3","3","3","3","3","3","3","3","3"
"180","opMod$repFile","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"181","opMod$estMdevs","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile"""
"182","opMod$estQdevs","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"183","opMod$estRecDevs","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"184","opMod$fg","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)","c(1.0000000,1.22315243,0.4361168,0.1,0.1)"
"185","opMod$firstRepYear","1","1","1","1","1","1","1","1","1","1","1","1"
"186","opMod$gammaM","0","0","0","0","0","0","0","0","0","0","0","0"
"187","opMod$gammaR","0.","0.","0.","0.","0.","0.","0.","0.","0.","0.","0.","0."
"188","opMod$gNames","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")","c(""Reduction"",""Seine-Roe"",""Gillnet"",""Survey1"",""Survey2"")"
"189","opMod$historyType","""omFile""","""omFile""","""omFile""","""omFile""","""omFile""","""omFile""","""omFile""","""omFile""","""omFile""","""omFile""","""omFile""","""omFile"""
"190","opMod$initDepTarg","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"191","opMod$initKnots","3","3","3","3","3","3","3","3","3","3","3","3"
"192","opMod$initMaxF","1","1","1","1","1","1","1","1","1","1","1","1"
"193","opMod$initScale","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"194","opMod$L1","c(10.29)","c(10.29)","c(10.29)","c(10.29)","c(10.29)","c(10.29)","c(10.29)","c(10.29)","c(10.29)","c(10.29)","c(10.29)","c(10.29)"
"195","opMod$selAge","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"196","opMod$L50Cg1","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)","c(2.63186,2.98889,4.79863,2.055,2.055)"
"197","opMod$L50Cg2","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)","c(40,40,40,48.40,89.99)"
"198","opMod$L50Dg","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)","c(5,5,5,5,5)"
"199","opMod$L95Cg1","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)","c(3.299762,3.927607,6.167282,2.202222,2.202222)"
"200","opMod$L95Cg2","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)","c(50,50,50,40,40)"
"201","opMod$L95Dg","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)"
"202","opMod$Linf","c(27)","c(27)","c(27)","c(27)","c(27)","c(27)","c(27)","c(27)","c(27)","c(27)","c(27)","c(27)"
"203","opMod$M","c(0.583934)","c(0.583934)","c(0.583934)","c(0.583934)","c(0.583934)","c(0.583934)","c(0.583934)","c(0.583934)","c(0.583934)","c(0.583934)","c(0.583934)","c(0.583934)"
"204","opMod$maxF","3","3","3","3","3","3","3","3","3","3","3","3"
"205","opMod$nAges","10","10","10","10","10","10","10","10","10","10","10","10"
"206","opMod$nGear","5","5","5","5","5","5","5","5","5","5","5","5"
"207","opMod$nGrps","1","1","1","1","1","1","1","1","1","1","1","1"
"208","opMod$obsWtAge","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile""","""repFile"""
"209","opMod$nT","82","82","82","82","82","82","82","82","82","82","82","82"
"210","opMod$powerg","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)"
"211","opMod$pulseMfrac","0.","0.","0.","0.","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"212","opMod$pulseMFrq","0","0","0","0","16","16","16","16","16","16","16","16"
"213","opMod$pulseMSize","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5"
"214","opMod$qg","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)","c(1,1,1,0.841236,0.999068)"
"215","opMod$recDevsOffset","2","2","2","2","2","2","2","2","2","2","2","2"
"216","opMod$recruitmentOption","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt""","""Beverton-Holt"""
"217","opMod$recM","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934"
"218","opMod$repFileName","'mserproject/history/iscamWCVI2017.rep'","'mserproject/history/iscamWCVI2017.rep'","'mserproject/history/iscamWCVI2017.rep'","'mserproject/history/iscamWCVI2017.rep'","""mserproject/history/iscamWCVI2017.rep""","""mserproject/history/iscamWCVI2017.rep""","""mserproject/history/iscamWCVI2017.rep""","""mserproject/history/iscamWCVI2017.rep""","""mserproject/history/iscamWCVI2017.rep""","""mserproject/history/iscamWCVI2017.rep""","""mserproject/history/iscamWCVI2017.rep""","""mserproject/history/iscamWCVI2017.rep"""
"219","opMod$rSeed","1270","1270","1270","1270","1270","1270","1270","1270","1270","1270","1270","1270"
"220","opMod$rSteepness","0.73723","0.73723","0.73723","0.73723","0.73723","0.73723","0.73723","0.73723","0.73723","0.73723","0.73723","0.73723"
"221","opMod$posteriorSamples","""mserproject/history/localPost/WCVI/conM""","""mserproject/history/localPost/WCVI/conM""","""mserproject/history/localPost/WCVI/conM""","""mserproject/history/localPost/WCVI/conM""","""mserproject/history/localPost/WCVI/tvM""","""mserproject/history/localPost/WCVI/tvM""","""mserproject/history/localPost/WCVI/tvM""","""mserproject/history/localPost/WCVI/tvM""","""mserproject/history/localPost/WCVI/tvM""","""mserproject/history/localPost/WCVI/tvM""","""mserproject/history/localPost/WCVI/tvM""","""mserproject/history/localPost/WCVI/tvM"""
"222","opMod$postSampleSeed","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335"
"223","opMod$selType","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)"
"224","opMod$sigmaLinf","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12"
"225","opMod$sigmaM","0.","0.","0.","0.","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"226","opMod$sigmaR","0.705998","0.705998","0.705998","0.705998","0.705998","0.705998","0.705998","0.705998","0.705998","0.705998","0.705998","0.705998"
"227","opMod$sizeLim","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)"
"228","opMod$sizeLimFuture","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)","c(1,1,1,1,1)"
"229","opMod$testFishery","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)","c(0,0.136078,0,0,0)"
"230","opMod$useBoot","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"231","opMod$kBoot","10","10","10","10","10","10","10","10","10","10","10","10"
"232","opMod$bootTolSD",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1"
"233","opMod$bootTolMult","1","1","1","1","1","1","1","1","1","1","1","1"
"234","opMod$volSizeRelease","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)","c(65,65,65,65,65)"
"235","opMod$tauAgeg","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)","c(0.4416084,0.3213798,0.5320789)"
"236","opMod$tauIndexg","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)","c(0.457555,.392708)"
"237","opMod$tauReleaseg","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)","c(0.42436000,0.83308600,0.65831000,0,0)"
"238","opMod$tMP","68","68","68","68","68","68","68","68","68","68","68","68"
"239","opMod$vonK","c(0.48)","c(0.48)","c(0.48)","c(0.48)","c(0.48)","c(0.48)","c(0.48)","c(0.48)","c(0.48)","c(0.48)","c(0.48)","c(0.48)"
"240","refPts$F0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","refPts$F01","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934"
"242","refPts$F40","0.217766617452171","0.217766617452171","0.217766617452171","0.217766617452171","0.217766617452171","0.217766617452171","0.217766617452171","0.217766617452171","0.217766617452171","0.217766617452171","0.217766617452171","0.217766617452171"
"243","refPts$Fcra","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934"
"244","refPts$Fmax","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934","0.583934"
"245","refPts$Fmsy","0.352392428361543","0.352392428361543","0.352392428361543","0.352392428361543","0.352392428361543","0.352392428361543","0.352392428361543","0.352392428361543","0.352392428361543","0.352392428361543","0.352392428361543","0.352392428361543"
"246","refPts$ssbFmsy","10.3351330893833","10.3351330893833","10.3351330893833","10.3351330893833","10.3351330893833","10.3351330893833","10.3351330893833","10.3351330893833","10.3351330893833","10.3351330893833","10.3351330893833","10.3351330893833"
"247","refPts$yieldFmsy","13.4974666775765","13.4974666775765","13.4974666775765","13.4974666775765","13.4974666775765","13.4974666775765","13.4974666775765","13.4974666775765","13.4974666775765","13.4974666775765","13.4974666775765","13.4974666775765"
"248","refPts$U0","0","0","0","0","0","0","0","0","0","0","0","0"
"249","refPts$U01","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471"
"250","refPts$U40","0.153922809101815","0.153922809101815","0.153922809101815","0.153922809101815","0.153922809101815","0.153922809101815","0.153922809101815","0.153922809101815","0.153922809101815","0.153922809101815","0.153922809101815","0.153922809101815"
"251","refPts$Ucra","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471"
"252","refPts$Umax","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471","0.23539809697471"
"253","refPts$Umsy","0.1938396172684","0.1938396172684","0.1938396172684","0.1938396172684","0.1938396172684","0.1938396172684","0.1938396172684","0.1938396172684","0.1938396172684","0.1938396172684","0.1938396172684","0.1938396172684"
"254","refPts$legalHRFmsy","0.193839617221515","0.193839617221515","0.193839617221515","0.193839617221515","0.193839617221515","0.193839617221515","0.193839617221515","0.193839617221515","0.193839617221515","0.193839617221515","0.193839617221515","0.193839617221515"
"255","","","","","","","","","","","","",""
"256","","","","","","","","","","","","",""
"257","","","","","","","","","","","","",""
"258","","","","","","","","","","","","",""
"259","","","","","","","","","","","","",""
