"SB_ 1951","SB_ 1952","SB_ 1953","SB_ 1954","SB_ 1955","SB_ 1956","SB_ 1957","SB_ 1958","SB_ 1959","SB_ 1960","SB_ 1961","SB_ 1962","SB_ 1963","SB_ 1964","SB_ 1965","SB_ 1966","SB_ 1967","SB_ 1968","SB_ 1969","SB_ 1970","SB_ 1971","SB_ 1972","SB_ 1973","SB_ 1974","SB_ 1975","SB_ 1976","SB_ 1977","SB_ 1978","SB_ 1979","SB_ 1980","SB_ 1981","SB_ 1982","SB_ 1983","SB_ 1984","SB_ 1985","SB_ 1986","SB_ 1987","SB_ 1988","SB_ 1989","SB_ 1990","SB_ 1991","SB_ 1992","SB_ 1993","SB_ 1994","SB_ 1995","SB_ 1996","SB_ 1997","SB_ 1998","SB_ 1999","SB_ 2000","SB_ 2001","SB_ 2002","SB_ 2003","SB_ 2004","SB_ 2005","SB_ 2006","SB_ 2007","SB_ 2008","SB_ 2009","SB_ 2010","SB_ 2011","SB_ 2012","SB_ 2013","SB_ 2014","SB_ 2015","SB_ 2016","SB_ 2017"
56.0677,57.5311,87.0821,114.24,98.2995,47.7487,26.3265,36.4382,49.5264,41.5549,42.3172,45.4736,43.8941,42.9481,24.9384,16.9903,8.29197,15.0363,23.5082,31.8286,34.6422,31.6971,34.598,41.4497,46.522,54.0116,61.315,51.5036,48.7653,53.2339,54.3234,48.9065,34.3908,31.1372,41.947,59.6235,62.6256,72.605,66.4237,71.2895,80.6872,96.747,98.5679,82.8558,77.2512,79.534,84.2525,81.9195,76.4206,75.4944,96.5504,101.632,96.0732,78.7328,62.4388,51.2957,52.4966,34.9751,38.9639,35.6067,54.6316,65.5633,72.811,96.4459,102.412,106.44,89.9773
35.791,28.6946,55.7396,75.9764,76.4375,47.5851,25.7786,44.3731,58.5608,53.8023,45.6386,55.2248,48.8982,41.3435,27.5434,19.0876,12.0057,14.2346,15.2847,23.0918,29.6237,28.6676,34.5044,44.8715,52.1429,60.6024,67.4118,56.2994,50.0777,50.0258,48.892,42.249,27.9656,26.4809,38.572,55.293,62.7311,79.8128,77.1884,80.8594,86.7994,98.0705,96.9131,77.0667,71.1911,71.3424,73.7821,70.2529,65.3482,64.1818,84.8244,91.8295,94.9479,82.9002,73.0241,62.1335,61.5855,38.8798,38.3722,34.3523,50.9729,54.705,56.7451,71.5257,82.2704,110.086,152.534
41.5587,35.4047,61.5464,78.6346,75.9752,42.6675,21.4616,46.1801,71.2446,70.6425,56.5865,52.6899,48.0249,38.8797,20.6117,10.9727,8.75543,13.2825,16.3957,26.4038,30.3937,26.9557,31.7582,40.3617,47.1123,56.0319,62.4456,52.3394,48.9459,52.898,54.3563,48.8769,34.4086,30.2968,42.3704,60.4176,63.16,74.7423,73.6092,82.5525,93.6059,113.409,118.439,100.492,88.8838,87.8001,87.5595,78.406,70.0975,67.5367,82.7768,86.2902,84.2107,74,67.0781,59.769,62.2138,42.8289,47.0162,41.8546,58.3632,60.3853,57.4448,65.8237,63.7566,71.7212,77.5054
39.7679,39.0296,63.1278,89.4734,86.437,49.5416,23.4915,42.9575,62.1574,65.3014,64.5523,67.1271,61.6469,39.1321,26.4455,17.0424,13.8426,17.9096,18.3361,30.2585,37.48,33.3886,37.4712,44.3869,49.4619,57.3303,64.0667,55.932,52.2967,52.9756,54.9436,50.4637,35.4481,32.101,44.9245,64.1497,70.0251,82.4821,79.6545,84.2785,86.994,99.252,100.831,84.8473,74.7801,78.1977,82.4621,76.1061,70.6036,71.3229,93.7903,99.5344,95.5379,80.5736,68.2106,57.4469,60.2577,39.8696,40.3712,35.322,53.2794,60.8009,60.681,70.3579,72.8893,87.0306,97.7912
63.3075,54.6226,74.883,92.9541,87.119,52.8027,28.1766,40.2902,52.4739,52.2331,54.9739,76.964,50.697,37.0124,23.2219,10.1634,5.90289,10.0943,13.2785,22.7707,30.8853,31.8047,38.6619,48.4452,54.1482,60.4149,67.6787,56.9348,54.2075,54.5734,54.8359,47.8883,33.0626,29.1484,38.8976,54.7179,57.6593,68.5292,65.2048,70.3958,81.6053,97.9036,99.3004,82.1137,76.3647,83.9566,89.5672,82.4019,77.5055,76.0877,94.4037,98.6012,97.0959,80.4727,69.9672,60.8935,64.4007,44.2673,46.2516,41.8877,60.802,64.0696,60.963,69.6142,71.03,88.2858,103.474
38.8825,35.2867,60.6221,80.688,75.6916,50.7951,32.112,47.3813,67.2739,58.4536,47.9817,50.3849,45.4984,36.2495,20.8601,8.36842,3.75978,8.08549,11.8967,20.5329,27.6077,27.8895,34.4722,45.8679,54.3953,65.5547,74.4423,62.6861,59.7697,61.0995,62.3985,56.1115,39.2504,34.375,44.1487,58.6131,61.7108,72.517,66.8312,71.5565,81.5694,94.6629,94.1318,80.366,78.3372,87.3,89.5759,81.3131,73.8544,72.4133,89.7018,89.6869,83.3647,67.9016,60.1718,51.2487,54.5716,38.2888,40.4689,37.8086,57.895,62.6686,63.3069,78.2551,89.5185,119.156,164.139
49.9537,54.2447,73.606,94.7643,90.2098,51.1634,29.3893,39.2735,58.1047,53.7608,51.5679,57.7193,43.0753,39.7478,24.1816,12.4893,4.73898,9.63837,12.4367,21.4511,27.2787,25.3165,33.1342,45.0817,53.6879,66.2388,79.8702,69.9026,65.2267,61.4546,57.445,48.1397,30.9694,24.3398,32.4756,46.5303,50.5583,64.5119,63.2078,70.7251,88.0492,113.556,121.221,103.564,91.5342,90.656,90.3994,78.9005,65.8048,61.2509,77.7408,79.2859,76.5406,65.0783,57.6893,50.0556,55.2025,39.9001,40.6528,36.9744,55.5499,58.9656,60.0854,74.5977,82.3766,110.823,146.801
53.0881,47.3748,70.7363,94.1461,82.0822,46.7438,22.9685,34.1958,45.1491,43.3348,43.441,48.5911,34.6298,35.4104,25.1828,13.3511,4.18023,7.8952,11.8456,19.5156,23.9462,25.1812,34.7303,48.5485,58.2301,70.8334,80.1667,65.8817,59.031,56.5929,50.8347,42.0109,28.69,23.9191,36.3025,56.2962,63.0959,77.3748,76.4259,84.6229,95.7138,115.79,120.763,102.396,90.8347,94.1076,99.1439,88.8792,77.0754,72.3489,90.6852,89.3864,83.2184,68.7965,59.4948,48.4932,52.1907,38.4349,45.3396,40.4263,57.1636,59.3916,56.6069,63.4576,62.3812,75.1473,89.9072
45.2512,41.619,75.5997,93.6127,90.4966,55.1242,28.3173,43.4254,59.8509,54.6814,52.807,53.0613,51.8882,41.3378,23.4038,6.91093,5.50522,11.395,13.9269,21.32,27.4137,27.7086,34.1313,44.808,54.3396,65.8406,73.0301,58.4013,53.756,53.137,49.0095,42.1612,27.1287,23.2009,33.5417,50.8922,55.0072,67.9343,65.8653,73.228,83.6551,98.6646,99.5946,84.8856,75.9023,73.809,74.3281,68.016,63.8631,65.8322,88.0355,95.5142,94.0936,80.0326,72.3236,60.3367,60.5638,41.2221,46.7118,41.9284,61.9886,71.1056,70.6063,82.2767,81.8811,92.2949,95.7554
55.7253,61.9412,91.787,108.826,103.2,55.9254,29.6473,43.9919,54.0378,53.8729,50.2424,53.2513,45.1248,39.8201,26.1018,10.6518,5.29771,11.5328,17.0732,24.4626,28.2964,27.3952,31.729,41.4868,49.3231,58.3497,65.5416,55.985,52.5871,53.6993,52.0467,46.3745,31.7408,28.27,40.4171,58.3576,61.1565,71.6494,66.5019,71.4989,81.6119,98.3033,100.176,83.5997,75.4163,72.6551,71.1032,65.7071,59.2167,57.9825,76.0459,85.104,89.2288,84.1441,81.3426,75.2547,82.1979,54.8841,55.9436,44.8646,59.386,62.6187,58.2006,63.6163,62.196,76.2667,94.6584
