sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018
30.4049,14.1988,22.3533,13.7754,16.6104,20.5972,35.6849,43.8995,19.9408,12.608,13.9777,21.2215,20.6311,22.7272,12.0675,5.5067,5.58521,9.45351,10.3121,20.1211,38.5538,54.9096,60.9446,69.6838,91.804,71.839,57.0476,45.9804,38.7018,45.9429,43.0481,33.7095,27.7017,33.979,50.6254,55.7655,48.8901,61.3384,46.4378,38.4909,31.7304,41.3698,38.2318,30.9055,26.965,31.8769,40.859,27.5078,18.0652,16.2071,17.6974,18.7224,15.436,9.20841,5.59976,6.13552,5.99149,4.76848,4.63566,5.21314,6.19887,5.69577,6.80161,10.2297,14.8028,20.9617,17.2296,14.7345
28.2934,10.5377,19.3603,14.9686,20.621,21.5963,37.5778,51.567,25.3597,14.04,14.2195,17.9187,16.9224,18.072,10.1176,4.37503,5.4374,10.2705,14.3385,23.7418,43.4511,61.5129,66.0132,77.4221,93.7247,71.8329,58.138,44.5665,37.6858,42.3924,39.5156,29.8868,22.035,25.6754,40.8456,47.9871,43.0272,56.4557,44.3329,38.7856,34.4123,47.8347,48.037,40.1484,33.8265,34.5374,37.4607,24.1663,15.9328,14.5331,15.8662,16.9884,14.6264,8.36183,4.58811,5.19204,5.31476,4.63653,4.45204,4.91186,5.84101,5.63191,7.50348,11.8053,15.5162,23.4725,24.4684,25.5286
33.2026,20.7803,27.7802,19.0894,25.784,28.8891,44.835,55.9959,27.6981,10.9626,14.6833,23.5618,20.719,20.8267,13.4374,6.80495,8.89556,10.9571,11.3218,21.9841,41.5811,55.9,62.6901,73.8247,88.9408,72.3279,60.6588,47.5175,39.1745,43.3382,40.4372,32.1078,25.1509,28.34,45.4892,57.3378,51.7024,63.1857,45.411,35.8194,27.2453,33.8689,33.302,28.6437,26.7518,32.5255,41.0037,30.0196,22.3995,21.3312,24.0352,24.5315,20.2078,11.4534,5.79411,5.18467,4.55775,3.92321,3.86878,4.27511,5.56332,5.59407,7.37078,12.0219,15.8527,21.2778,17.0174,14.5861
28.366,17.5339,26.856,15.9647,19.084,19.4573,33.4085,46.5115,25.094,11.2097,14.3622,23.7707,19.4568,17.2659,9.5636,4.38461,3.03207,4.8644,6.79265,15.9841,31.9008,46.6825,54.0544,64.1733,79.6092,60.2012,47.1408,38.4115,32.5955,39.4021,38.0988,30.9776,24.8958,29.9047,48.3714,55.4825,52.0944,66.0268,47.8061,37.3261,30.1328,38.8267,38.4365,32.4679,29.1656,31.3028,37.4028,26.5493,18.7861,17.9131,20.0688,20.8985,16.8226,9.68055,5.14413,5.04005,4.94706,4.45949,4.54969,4.91556,5.91309,5.88004,7.6385,11.9161,14.9223,23.4563,28.8129,34.8639
24.9044,7.76398,16.3227,13.5246,15.9685,17.6962,34.7182,49.0458,30.187,12.7228,16.0663,24.2714,25.0263,22.8025,14.9364,6.43153,3.68996,7.33459,10.0514,21.0343,38.9902,57.7447,63.6833,77.2973,100.83,83.6938,68.2422,53.574,40.3086,39.4239,33.4764,25.1008,19.6742,25.5367,42.0312,50.7842,49.4376,66.7838,49.1937,38.6594,30.0424,37.8129,36.6795,30.9738,27.9326,32.4673,42.7244,31.2088,22.2448,20.3293,21.5399,21.2125,17.8579,9.44574,4.64885,4.55879,4.34012,3.95711,4.08907,4.17586,5.01786,5.05648,6.45928,10.2804,15.8912,27.4389,33.3037,37.8583
23.6635,12.5297,21.2346,15.4309,22.3684,25.7433,39.4021,50.9641,28.7801,13.8987,15.4683,19.666,21.3791,22.8601,13.2075,5.93419,4.03475,7.441,9.81513,19.1933,35.6465,51.5347,58.9196,66.2065,86.7714,70.1885,57.3387,44.393,36.0995,39.2399,38.0244,29.5565,23.1554,27.601,42.8949,50.2992,48.2866,65.0369,49.5581,40.4915,34.0489,44.3974,42.5066,34.2757,28.9337,31.2053,37.5401,25.0129,16.1091,13.3921,14.628,14.7832,12.5324,5.88512,3.11246,4.3225,5.64269,5.72039,6.33763,7.6315,9.14965,7.63789,8.24351,11.3789,14.5323,19.3483,18.6395,18.096
27.2882,14.9744,23.1184,14.7126,21.5273,28.3428,45.539,54.5563,32.1942,14.8624,16.1446,23.4258,20.3993,18.9225,10.1753,4.73956,5.24176,7.9755,10.2838,21.0657,40.7341,59.1698,69.5143,80.294,99.9138,78.5869,61.5235,43.1282,34.1459,36.4707,32.097,23.7641,17.3059,19.6319,35.3349,47.2855,44.175,58.1716,44.8392,37.5436,32.0176,41.8486,38.816,32.106,28.6232,31.8208,38.5226,27.2649,18.9732,17.1386,19.1324,19.6894,17.0705,10.0965,5.39954,5.14076,4.72685,3.84824,3.76067,4.08597,5.78322,6.75565,9.71844,16.5842,22.3684,25.1444,12.1573,6.31132
20.6498,10.2461,19.3597,14.2024,18.7759,18.7572,29.3377,44.5946,25.884,11.9384,14.2952,21.8625,21.2661,22.6145,14.3419,6.91062,6.15954,12.0232,13.2066,22.7228,36.422,52.5169,60.6113,69.2552,88.1896,70.5117,55.4578,40.9341,30.8126,34.1958,32.6354,25.5108,18.8164,22.1952,39.187,50.1617,44.428,53.7441,39.6959,31.9112,26.9785,36.8166,34.4514,28.347,27.0136,32.8732,43.54,33.0148,23.9835,21.3953,22.6754,22.8661,17.9363,8.7881,4.34198,4.38435,4.36371,4.16702,4.50366,5.35663,7.12749,7.57483,9.93308,15.3335,19.3342,22.2594,13.7272,9.09882
22.5634,11.9465,21.8219,17.4058,22.1661,22.5243,36.6683,49.9239,28.7263,10.8266,11.7355,16.7544,16.545,19.6183,14.8644,7.32487,4.84075,7.25455,7.68147,13.6659,28.905,46.5718,54.1847,65.8391,86.1682,65.0232,51.2074,41.7173,36.9612,42.7698,43.5012,34.6219,25.3794,28.6945,44.3745,50.9318,47.4683,62.0805,44.0936,33.0251,25.0149,32.9437,32.7043,26.2738,24.6543,30.6886,40.3873,31.8405,24.2144,23.3808,24.4328,22.9928,18.6915,10.1373,5.47042,5.7064,5.77254,5.22749,5.05336,5.25674,6.14718,5.36543,5.74956,8.15836,13.1264,23.6223,28.8227,34.9171
27.101,14.1456,23.1295,18.0457,23.7819,23.8331,38.7962,49.6795,30.7928,12.1339,13.7088,16.6797,16.7758,16.7066,9.27402,3.94234,4.40675,9.44136,10.764,18.7304,36.5285,54.0383,61.892,71.8133,86.7142,67.018,54.1041,42.3458,36.7391,45.1356,45.7202,36.1665,27.9952,31.7827,45.3268,47.6065,40.7244,51.4605,39.7448,34.4392,29.6118,40.959,42.4277,35.9207,30.358,31.5862,34.1271,20.6217,12.2268,10.684,13.2976,15.7611,14.4783,8.7001,5.40805,6.09446,6.03205,5.49118,5.67284,5.9594,7.43153,6.9173,8.05466,12.6098,18.6511,28.7778,29.1239,28.5678
