rdev1_1951,rdev1_1952,rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017
0.701479,0.784327,1.24096,0.0724772,0.477919,0.656237,0.375665,0.449917,0.901945,-0.0387562,0.889757,-0.0950899,0.906259,-0.430093,-1.22339,0.344337,-0.0332674,-1.74547,-0.156251,0.511425,0.282125,0.306501,0.383875,0.904805,0.00121543,-0.363667,0.231355,-0.786956,0.437494,-0.00894927,-0.322449,-0.158275,0.326073,1.06652,1.00993,-0.0689093,1.37285,-0.241524,-0.101983,-0.628329,0.470301,-0.135651,-0.237887,-0.858455,-0.501514,1.17042,0.015648,-0.581035,-0.400977,-0.229531,0.301257,0.125899,-0.456446,-0.207207,-0.482198,0.0990634,-1.01276,-0.367032,-0.776051,0.0831799,-1.36455,-1.29587,-0.229019,-0.56533,0.757397,-0.878932,-0.776969
0.537578,0.296253,0.941069,0.0123262,0.168276,0.384317,0.466813,0.987201,0.751576,0.178315,0.900053,-0.126335,0.780351,-0.40024,-1.67153,0.209376,-0.43951,-0.65363,-0.24921,0.674942,0.673611,0.474663,0.881246,1.02897,0.153482,-0.300006,0.299749,-0.78517,0.216281,-0.0811649,-0.494262,-0.501034,0.058074,0.882421,0.944421,-0.239108,1.22738,-0.303508,-0.148169,-0.73043,0.524276,0.148617,0.0492467,-0.657747,-0.221932,1.13856,0.21473,-0.408376,-0.343349,-0.251226,0.153244,0.0988415,-0.60649,-0.559687,-0.573391,-0.130087,-0.643605,-0.316998,-0.753926,0.113733,-1.23829,-1.11033,-0.0709792,-0.819105,0.540177,-0.909082,-0.428833
1.02396,0.803256,1.14234,0.553876,0.735322,0.842952,0.659081,1.21928,0.750019,0.227631,1.05663,0.112853,0.761476,0.0858131,-1.16219,0.710966,-0.290196,-1.94263,-0.129305,0.577608,0.202297,0.285975,0.747102,0.757838,0.140125,-0.139796,0.41723,-0.756384,0.239628,-0.0803337,-0.326287,-0.664812,0.0786483,0.704131,1.07042,-0.304341,1.33269,-0.52539,-0.387161,-0.812724,0.12062,-0.112081,-0.247763,-0.990744,-0.432305,0.956064,-0.0432857,-0.500992,-0.441304,0.0968463,0.449798,0.347906,-0.16553,-0.230203,-0.439798,-0.13364,-0.805514,-0.337926,-1.11555,-0.0599867,-1.39932,-1.42992,-0.174605,-0.690596,0.560799,-1.3124,-1.1667
0.988324,0.711689,0.85021,-0.0783893,0.209848,0.447995,0.444994,1.07409,0.773809,0.230311,1.15539,-0.125459,0.749948,-0.368333,-1.30332,0.199222,-1.15122,-2.17882,-0.389078,0.224238,0.190749,0.299097,0.578867,0.675716,-0.0327679,-0.384017,0.203265,-0.85526,0.1952,-0.141409,-0.440728,-0.354012,0.20044,1.16291,1.22619,0.154057,1.67959,-0.0821591,-0.138965,-0.503389,0.459208,0.216157,-0.160225,-0.610778,-0.493977,1.03122,0.239073,-0.542977,-0.1557,0.0488442,0.551104,0.289988,-0.342316,-0.123887,-0.605766,-0.0940325,-0.770811,-0.211438,-0.779215,0.123424,-1.12412,-1.06616,-0.0794101,-0.965719,0.365458,-0.913534,-0.176091
0.0590755,-0.219419,0.743875,-0.67268,-0.25995,0.30005,-0.00335057,0.898617,0.467086,0.28879,0.900467,0.238998,0.801252,0.0161714,-0.886386,0.0751113,-0.352853,-1.50215,-0.13662,0.30828,0.286412,0.286425,0.604941,1.05324,0.351625,-0.01576,0.672874,-0.507643,0.289518,0.0574053,-0.298944,-0.471495,0.274993,0.851576,0.951811,-0.136522,1.55826,-0.168658,-0.160001,-0.616065,0.444404,0.046497,-0.100335,-0.940721,-0.578303,1.07044,0.173963,-0.449253,-0.338945,0.242531,0.421478,0.680235,-0.211847,-0.0721201,-0.448255,0.0091686,-0.795775,-0.161099,-1.03497,-0.10758,-1.42155,-1.282,-0.451797,-0.716927,0.559089,-0.607491,-0.151816
0.40678,0.160486,0.976995,0.235929,0.521272,0.603423,0.485223,1.27756,0.918183,0.4976,0.888274,0.24191,0.991475,-0.217352,-1.56329,0.158695,-0.574315,-1.58092,-0.351439,0.249355,0.194767,0.242968,0.488083,0.867894,0.186051,-0.226391,0.418081,-0.609452,0.0924762,0.0780691,-0.531786,-0.595069,0.158975,0.780773,0.820321,-0.148077,1.47886,-0.188461,-0.0273568,-0.524586,0.615348,0.148466,-0.0465362,-0.766801,-0.449463,1.11164,0.122044,-0.527186,-0.856092,-0.0707818,-0.0666418,0.160476,-1.1244,-0.710604,-1.08694,-0.23928,-0.903011,-0.291062,-0.606149,0.522241,-1.05279,-0.805649,0.133363,-0.1662,0.713354,-0.665985,-0.438138
-0.253127,-0.161922,0.560215,-0.0757056,0.477144,0.701852,0.5136,1.20141,0.942589,0.173412,1.28248,0.417412,0.894945,-0.100842,-1.30849,0.425441,-0.702863,-1.60173,-0.238195,0.491023,0.389664,0.536339,0.759808,1.07639,0.329233,-0.040122,0.456561,-0.586331,0.280359,0.0170265,-0.637028,-0.646854,-0.228777,0.602111,0.866599,-0.264117,1.209,-0.33075,-0.208342,-0.607345,0.465517,-0.0786606,-0.21957,-0.732481,-0.494683,1.05052,0.0340277,-0.5258,-0.646949,0.0134386,0.240763,0.36412,-0.220416,-0.0622916,-0.443981,0.0907413,-0.899549,-0.451335,-1.40707,-0.264329,-1.34641,-1.27696,0.0374642,-0.180854,1.12431,-0.273739,-0.626761
0.317137,0.0811742,0.691593,-0.155003,0.200595,-0.0605789,0.338099,1.02285,0.840352,0.0203527,0.905611,-0.0426237,0.808852,0.012903,-0.878513,0.181856,0.299634,-1.47605,0.108517,0.310035,0.402683,0.38849,0.570171,0.969222,0.216231,-0.260548,0.276318,-0.864214,0.0199219,-0.0671825,-0.600871,-0.842933,-0.155057,0.710102,0.976763,-0.227416,1.28436,-0.347424,-0.234687,-0.661015,0.45789,-0.249569,-0.349997,-0.788745,-0.516212,1.09307,0.210608,-0.276436,-0.232246,0.220149,0.698226,0.634864,-0.342486,-0.269932,-0.455371,-0.322445,-0.82725,-0.553835,-1.05082,-0.0704728,-1.24242,-1.07825,0.129007,-0.199677,1.02792,-0.501486,-0.443025
0.558687,0.410249,1.08352,0.16701,0.115984,0.416606,0.175499,1.13179,0.434608,0.244472,0.748054,-0.0424632,0.800086,0.226609,-0.95024,0.283783,-0.460591,-1.91625,-0.778462,0.159122,0.269476,0.242368,0.398561,0.836552,-0.120216,-0.186574,0.316669,-0.501037,0.294228,0.303119,-0.0109675,-0.527296,0.226266,1.01898,1.12678,0.0698694,1.62404,-0.18207,-0.189846,-0.784124,0.306081,0.00029628,-0.541818,-1.08133,-0.468192,0.947249,0.232562,-0.424507,-0.183822,0.278126,0.324467,0.518722,-0.389274,-0.279882,-0.37577,0.04724,-0.545886,-0.0897342,-0.826599,0.297885,-1.18481,-1.21583,-0.539763,-0.807605,0.526589,-1.08527,-0.27107
0.423728,0.4212,0.942785,0.116299,0.270052,0.581245,0.0546808,1.20212,0.735645,0.182492,0.718818,0.16974,0.726221,-0.295271,-1.22396,0.272292,0.104799,-1.06691,-0.218436,0.639691,0.636867,0.450734,0.751308,0.803835,-0.057895,-0.235616,0.0515333,-0.794144,0.283641,0.146456,-0.278096,-0.0840167,0.379146,1.16209,0.954567,-0.199855,1.18602,-0.496805,-0.458011,-0.81713,0.290065,0.00253657,-0.0347301,-0.863892,-0.308823,1.10916,0.0407668,-0.680913,-0.78665,-0.27435,0.149812,0.16661,-0.832567,-0.47311,-0.499358,-0.076765,-0.946562,-0.0689249,-0.944256,0.245744,-1.25409,-1.31849,-0.182679,-0.429266,0.791811,-0.628197,-0.20918
