ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
457.361,0.803087,0.815671,355.969,566.973,0.326409,1.47971, 26.5813, 38.0008,0.926552,0.982514,20.6924,2.51531,0.180584,3.00097,0.325807,4.79075,0.461345,2.055,0.05,2.055,0.05,-674.578
574.658,0.715254,0.925274,387.127,930.918,0.377837,1.41237, 34.4741, 43.9264,0.870633,0.993845,20.7341,2.67354,0.244294,2.97743,0.31268,4.90597,0.494711,2.055,0.05,2.055,0.05,-673.009
584.174,0.680415,0.901122,351.034,610.868,0.335127,1.54496, 26.3347, 47.4951,0.908036,1.00689,13.5473,2.53902,0.190073,2.98606,0.323089,4.89523,0.471252,2.055,0.05,2.055,0.05,-663.27
523.316,0.686828,1.05927,314.88,865.319,0.326921,1.43835, 26.1813, 48.8199,0.943007,0.994645,15.5146,2.55655,0.197326,2.98195,0.320842,4.69511,0.427012,2.055,0.05,2.055,0.05,-647.56
539.899,0.836448,1.1254,385.089,905.038,0.292402,1.52509, 22.9525, 41.679,0.788502,0.995486,13.8673,2.61098,0.218541,3.00941,0.320556,4.90467,0.495627,2.055,0.05,2.055,0.05,-653.256
921.386,0.646854,0.98737,436.571,272.407,0.26256,1.01438, 30.2615, 60.215,0.714368,1.00943,8.45869,2.83105,0.295263,3.04577,0.332395,4.83866,0.468987,2.055,0.05,2.055,0.05,-642.763
547.785,0.504968,0.943929,399.932,394.842,0.346763,1.34478, 30.861, 41.8933,0.741468,0.999303,13.1685,2.82545,0.278104,2.99034,0.317538,4.75892,0.439835,2.055,0.05,2.055,0.05,-650.769
527.638,0.706996,0.962893,380.653,402.065,0.279829,1.2874, 23.2135, 43.2661,0.737048,0.99687,12.6725,2.59659,0.21232,2.94257,0.309242,4.87167,0.480383,2.055,0.05,2.055,0.05,-649.992
401.301,0.792842,0.692897,356.431,139.676,0.349607,1.47932, 15.2949, 34.1165,0.851238,1.00467,12.2505,2.49937,0.191916,2.99339,0.324205,4.83391,0.476395,2.055,0.05,2.055,0.05,-653.667
836.838,0.718127,0.417845,337.403,30.8311,0.236336,1.11057, 100.733, 83.8147,0.8404,1.01445,43.2296,2.53024,0.193377,2.96835,0.311795,4.67947,0.438873,2.055,0.05,2.055,0.05,-646.843
1040.68,0.667855,0.514546,399.398,73.7252,0.197105,0.935527, 88.971, 81.0435,0.769193,0.998409,23.6826,2.4868,0.173818,2.97638,0.310168,4.7633,0.465931,2.055,0.05,2.055,0.05,-648.064
672.625,0.697865,0.679083,408.183,416.204,0.331036,1.18021, 29.9422, 51.3728,0.738561,1.01661,14.2444,2.59705,0.229414,3.04599,0.321193,4.7697,0.432665,2.055,0.05,2.055,0.05,-667.038
438.885,0.680404,0.478089,322.895,123.323,0.303104,1.37829, 19.6091, 40.8087,0.989399,0.990556,12.6939,2.72984,0.25741,2.98578,0.324431,4.75377,0.468863,2.055,0.05,2.055,0.05,-661.587
570.181,0.80644,0.608105,380.978,190.154,0.318198,1.3425, 45.1923, 48.1518,0.803511,1.00227,23.2007,2.69918,0.247359,2.99336,0.314845,4.85193,0.485747,2.055,0.05,2.055,0.05,-661.517
562.896,0.649942,0.710681,346.131,147.477,0.35013,1.38476, 56.3453, 51.605,0.907131,0.987412,29.6776,2.65919,0.243185,2.96978,0.310289,4.76292,0.447257,2.055,0.05,2.055,0.05,-657.385
668.037,0.695636,0.596821,331.398,241.147,0.305516,1.15421, 37.2409, 60.6091,0.95306,1.01598,16.2893,2.60618,0.207417,2.91705,0.30859,4.74502,0.454473,2.055,0.05,2.055,0.05,-639.909
389.172,0.826121,0.43956,286.057,52.863,0.388757,1.44078, 28.4235, 41.4757,1.10024,1.00323,21.8689,2.68169,0.23388,2.91662,0.304643,4.82849,0.463652,2.055,0.05,2.055,0.05,-648.378
640.398,0.691523,0.668111,302.69,229.288,0.288271,1.19458, 57.7314, 67.2379,1.0277,0.991962,25.7076,2.74076,0.276398,2.92563,0.309015,4.80218,0.464496,2.055,0.05,2.055,0.05,-651.003
479.59,0.741069,0.771906,323.022,320.231,0.335727,1.24403, 49.6659, 49.2986,0.938499,0.970741,37.4459,2.5101,0.199615,2.9396,0.304949,4.79784,0.482064,2.055,0.05,2.055,0.05,-658.788
468.933,0.753146,0.48461,301.625,81.598,0.431372,1.31397, 99.4468, 48.231,1.0107,0.994835,53.6337,2.6024,0.228054,2.98862,0.321912,4.73125,0.457474,2.055,0.05,2.055,0.05,-640.236
523.571,0.724825,0.455215,321.189,84.4051,0.384283,1.32334, 117.154, 54.3087,0.95293,0.979259,62.6703,2.66998,0.238713,2.91956,0.308251,4.73928,0.457813,2.055,0.05,2.055,0.05,-643.927
630.546,0.616335,0.568883,327.972,121.732,0.336779,1.50848, 131.895, 63.0024,0.88905,1.00584,66.1852,2.65002,0.23805,3.01801,0.328767,4.89682,0.47165,2.055,0.05,2.055,0.05,-635.501
412.689,0.819607,0.594879,315.817,152.695,0.395676,1.37212, 73.8444, 40.7959,1.0077,0.993997,42.4143,2.76353,0.243003,3.02535,0.341855,4.82706,0.478677,2.055,0.05,2.055,0.05,-653.16
