rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017
1296.17,402.902,604.339,722.309,545.597,587.651,923.491,360.488,912.304,340.742,927.484,243.745,110.258,528.77,362.473,65.4146,320.527,624.931,496.877,509.137,550.095,926.136,375.19,260.486,472.28,170.59,580.396,371.395,271.447,319.878,519.2,1088.7,1028.8,349.781,1478.92,294.327,338.402,199.914,599.753,327.198,295.4,158.818,226.944,1207.89,380.644,209.596,250.946,297.878,506.474,425.011,237.406,304.603,231.37,413.757,136.11,259.611,172.46,407.237,95.7433,102.549,298.031,212.914,799.201,155.599,172.302
944.829,373.255,436.248,541.45,588.012,989.437,781.731,440.65,906.859,324.927,804.552,247.075,69.2974,454.551,237.561,191.771,287.357,724.061,723.098,592.646,889.963,1031.64,429.842,273.125,497.544,168.134,457.701,339.94,224.904,223.386,390.727,891.009,948.001,290.274,1258.04,272.17,317.909,177.595,622.79,427.755,387.293,190.984,295.303,1151.12,456.991,245.073,261.539,286.778,429.739,406.985,201.028,210.66,207.793,323.71,193.704,268.523,173.471,413.091,106.874,121.462,343.42,162.525,632.773,148.54,240.111
1174.06,651.812,781.49,870.295,724.123,1267.96,793.06,470.366,1077.62,419.362,802.199,408.174,117.178,762.686,280.251,53.6915,329.17,667.466,458.599,498.626,790.75,799.285,430.956,325.735,568.562,175.826,476.043,345.691,270.316,192.687,405.26,757.49,1092.59,276.314,1420.22,221.515,254.352,166.194,422.631,334.889,292.398,139.092,243.125,974.519,358.739,226.986,240.947,412.702,587.384,530.482,317.46,297.578,241.31,327.746,167.397,267.189,122.773,352.797,92.44,89.6538,314.591,187.782,656.34,100.834,116.65
756.537,298.913,398.772,506,504.484,946.364,700.889,407.016,1026.52,285.169,684.363,223.678,87.8139,394.557,102.24,36.5881,219.086,404.552,391.228,435.998,576.75,635.401,312.865,220.197,396.155,137.453,392.973,280.657,208.057,226.905,395.038,1034.27,1101.84,377.133,1733.9,297.788,281.343,195.42,511.705,401.296,275.425,175.522,197.268,906.655,410.598,187.835,276.674,339.47,560.958,432.045,229.574,285.618,176.404,294.273,149.565,261.675,148.313,365.756,105.048,111.317,298.608,123.079,465.913,129.672,271.09
720.794,174.827,264.153,462.445,341.425,841.424,546.516,457.267,842.981,435.057,763.36,348.156,141.188,369.293,240.718,76.2734,298.825,466.267,456.181,456.187,627.297,982.123,486.922,337.214,671.392,206.198,457.6,362.812,254.051,213.788,451.002,802.759,887.394,298.854,1627.4,289.403,291.919,185.011,534.26,358.875,309.867,133.721,192.131,999.162,407.663,218.596,244.089,436.596,522.151,676.351,277.17,318.734,218.814,345.726,154.579,291.599,121.694,307.63,82.6757,95.0571,218.041,167.26,599.183,186.604,294.319
921.566,439.223,584.263,634.287,563.576,1244.69,868.93,570.595,843.326,441.858,935.008,279.144,72.6601,406.577,195.344,71.3899,244.115,445.16,421.511,442.326,565.19,826.313,417.853,276.632,526.979,188.6,380.526,375.083,203.831,191.332,406.691,757.37,787.923,299.167,1522.24,287.326,337.553,205.304,641.897,402.44,331.141,161.141,221.321,1054.39,391.946,204.771,147.376,323.208,324.549,407.302,112.694,170.456,116.996,273.089,140.621,259.308,189.224,584.83,121.06,155.001,396.407,293.794,707.993,178.233,223.842
595.151,315.101,547.709,685.708,568.044,1130.04,872.348,404.241,1225.47,515.951,831.761,307.279,91.846,520.11,168.298,68.5027,267.844,555.363,501.831,581.109,726.623,997.242,472.403,326.516,536.55,189.099,449.87,345.719,179.751,177.993,270.378,620.614,808.515,260.99,1138.65,244.166,275.96,185.166,541.377,314.171,272.879,163.387,207.248,971.765,351.647,200.898,177.976,344.481,432.405,489.175,272.649,319.356,218.027,372.166,138.248,216.429,83.2235,260.935,88.4284,94.7874,352.857,283.651,1046.19,258.491,181.606
685.457,293.973,419.51,323.084,481.348,954.65,795.4,350.319,849.037,328.938,770.735,347.719,142.591,411.722,463.185,78.4483,382.607,468.028,513.462,506.226,607.082,904.801,426.121,264.527,452.51,144.644,350.168,320.958,188.222,147.756,293.958,698.262,911.649,273.438,1239.98,242.516,271.458,177.235,542.606,267.447,241.893,155.983,204.851,1024.09,423.732,260.358,272.121,427.794,690.018,647.654,243.717,262.056,217.701,248.65,150.091,197.287,120.022,319.904,99.0945,116.774,390.528,281.13,959.499,207.889,220.405
1035.03,413.92,393.33,531.269,417.449,1086.22,540.92,447.258,740.049,335.694,779.575,439.339,135.426,465.19,220.98,51.5426,160.806,410.668,458.582,446.318,521.769,808.528,310.582,290.641,480.743,212.221,470.075,474.272,346.435,206.72,439.189,970.339,1080.79,375.603,1777.04,291.953,289.692,159.899,475.679,350.359,203.74,118.787,219.307,903.171,441.963,229.099,291.442,462.566,484.506,588.387,237.315,264.749,240.542,367.199,202.913,320.195,153.249,471.797,107.109,103.838,204.159,156.188,593.034,118.32,267.092
920.094,402.619,469.535,640.94,378.559,1192.5,747.95,430.171,735.469,424.72,740.935,266.779,105.397,470.588,398.015,123.32,288.085,679.517,677.601,562.519,759.758,800.732,338.254,283.178,377.369,161.992,475.959,414.946,271.4,329.532,523.657,1145.71,930.999,293.488,1173.46,218.085,226.712,158.311,479.027,359.325,346.181,151.078,263.188,1086.64,373.328,181.413,163.21,272.419,416.341,423.393,155.886,223.314,217.529,331.931,139.091,334.543,139.412,458.259,102.268,95.8901,298.572,233.323,791.162,191.233,290.764
577.576,296.296,308.121,263.905,349.301,812.028,572.826,293.088,621.444,309.042,521.538,258.965,129,405.824,164.753,53.6749,219.754,405.2,442.11,473.272,584.952,764.902,351.16,227.349,381.337,126.795,376.307,226.537,167.394,173.026,301.744,599.145,999.685,297.135,1513.9,313.424,372.709,191.361,552.483,405.964,317.153,171.412,232.705,1030.49,475.64,226.522,218.765,433.239,515.11,491.336,206.218,230.1,162.977,261.107,92.9156,203.572,121.735,366.575,96.4194,99.4007,318.972,204.271,837.092,141.815,360.175
812.32,425.75,729.859,843.101,867.82,898.11,739.827,509.388,866.448,379.401,525.214,254.845,157.347,399.175,310.27,123.259,509.576,723.621,722.616,624.528,736.125,1126.87,407.778,241.107,457.353,161.079,397.074,278.997,254.54,223.995,467.564,846.533,1195.55,341.851,1536.8,270.558,348.174,187.43,483.728,363.351,279.809,145.569,233.604,862.797,484.585,231.089,287.733,402.212,663.414,578.61,258.021,305.754,201.712,306.684,131.285,237.719,170.111,316.278,91.0455,119.106,301.556,227.464,789.716,235.767,366.412
557.756,259.735,259.151,407.767,393.276,832.564,504.584,353.808,791.212,474.662,850.818,385.321,182.365,358.112,473.6,161.092,406.436,557.228,545.638,463.387,620.99,899.683,348.433,243.291,484.915,139.915,434.867,370.807,217.302,191.581,528.644,1020.42,1128.08,464.307,1640.22,332.718,331.259,208.436,649.875,366.823,286.234,149.141,215.116,941.64,329.537,168.648,212.99,334.388,474.291,469.213,196.843,296.215,191.083,318.279,129.033,252.801,198.555,481.223,127.085,124.334,399.491,252.108,807.806,154.196,125.529
946.243,392.083,488.207,611.57,603.998,1071.47,799.426,386.129,879.638,368.734,662.596,234.799,124.792,260.169,577.141,72.804,335.828,674.401,437.497,467.659,688.706,657.827,336.211,243.218,394.402,152.251,457.964,420.52,220.199,260.322,571.216,1002.28,887.354,297.76,1311.65,265.347,250.556,198.493,376.54,372.41,315.389,149.247,286.648,921.53,333.227,161.549,179.393,418.918,439.09,463.099,225.272,309.536,241,464.581,230.134,347.969,236.565,473.617,101.943,135.486,306.219,234.094,813.693,137.203,196.108
772.39,359.667,477.539,659.361,707.184,1104.26,784.675,530.33,792.858,462.181,749.008,249.93,126.345,213.847,550.818,50.407,571.957,1184.5,789.321,681.934,975.035,1099.48,449.663,312.906,550.842,254.161,760.139,584.261,379.914,390.203,802.086,1311.65,1233.39,374.393,1205.44,219.549,235.636,171.178,370.469,311.618,329.355,179.182,313.993,1400.08,520.978,262.914,273.577,457.087,502.383,533.62,192.359,207.116,160.03,334.562,138.695,228.289,201.712,411.8,109.426,134.82,310.962,208.771,1063.39,219.056,199.871
