m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017
0.945661,0.859242,0.774868,0.686776,0.597093,0.512261,0.439712,0.385919,0.355522,0.349804,0.369502,0.416093,0.489999,0.584762,0.67986,0.746819,0.76158,0.717659,0.630188,0.526827,0.432558,0.358694,0.306909,0.27503,0.260314,0.260734,0.275274,0.304081,0.347884,0.406852,0.478748,0.556325,0.625942,0.67267,0.686485,0.666718,0.62241,0.568589,0.520249,0.48579,0.468371,0.468451,0.484896,0.514598,0.551858,0.590934,0.627121,0.657585,0.682286,0.704625,0.730782,0.765691,0.8118,0.868488,0.930861,0.988084,1.02413,1.0267,0.992533,0.928397,0.848576,0.770365,0.708926,0.671285,0.658777,0.669641,0.699174
0.926266,0.728798,0.58056,0.477822,0.411893,0.374484,0.359212,0.361236,0.37643,0.40173,0.434495,0.47187,0.510474,0.546398,0.575502,0.593994,0.599096,0.589594,0.566113,0.530981,0.487848,0.44129,0.395995,0.35609,0.324936,0.305462,0.300506,0.312093,0.342143,0.392412,0.462556,0.545646,0.62389,0.675582,0.685287,0.652028,0.589879,0.520706,0.464097,0.429024,0.417828,0.430583,0.466311,0.521178,0.585672,0.648,0.697092,0.726088,0.735379,0.733401,0.733641,0.746349,0.777297,0.828246,0.895918,0.96915,1.02782,1.05268,1.033,0.970514,0.878588,0.776863,0.683473,0.607108,0.549126,0.506968,0.475966
0.848052,0.784938,0.72342,0.66042,0.597079,0.537161,0.485615,0.447735,0.428436,0.430159,0.45408,0.500522,0.567109,0.644426,0.712526,0.749191,0.739919,0.685179,0.600167,0.506992,0.42441,0.360541,0.316342,0.289979,0.279177,0.282043,0.297148,0.323804,0.361534,0.409233,0.464115,0.520567,0.56994,0.603615,0.615992,0.60647,0.57973,0.544272,0.509493,0.481564,0.46352,0.456382,0.459856,0.472475,0.491719,0.515505,0.542562,0.572546,0.606302,0.64622,0.6961,0.758761,0.834727,0.920821,1.0081,1.07984,1.1137,1.09522,1.02549,0.920546,0.804359,0.700422,0.625448,0.584648,0.577492,0.601647,0.652531
0.747717,0.646172,0.560002,0.489482,0.433996,0.392602,0.364479,0.349304,0.347356,0.358837,0.383717,0.421206,0.468442,0.518482,0.559445,0.57936,0.570926,0.534531,0.478079,0.4136,0.352383,0.300822,0.261218,0.233708,0.217737,0.213021,0.220075,0.240169,0.275343,0.327879,0.398633,0.483563,0.570054,0.640446,0.678787,0.678117,0.644009,0.591898,0.539536,0.497871,0.471561,0.461722,0.46756,0.486627,0.514692,0.547783,0.582681,0.617166,0.650491,0.683919,0.72055,0.762863,0.811735,0.865903,0.921188,0.969676,1.00029,1.00357,0.974736,0.915019,0.83129,0.734045,0.634176,0.539424,0.454106,0.379948,0.316969
0.660451,0.524106,0.419393,0.343539,0.291701,0.259349,0.243289,0.242033,0.255872,0.286411,0.336103,0.406858,0.496753,0.594405,0.675223,0.712278,0.691401,0.619949,0.522182,0.425646,0.349022,0.297177,0.268257,0.259244,0.267897,0.292446,0.330335,0.378664,0.433628,0.490155,0.542375,0.584829,0.613736,0.627217,0.625506,0.610873,0.587137,0.558978,0.531062,0.5068,0.488345,0.476963,0.473362,0.477911,0.490809,0.512347,0.542927,0.582976,0.632799,0.69235,0.760893,0.836473,0.915356,0.991527,1.05645,1.09942,1.10961,1.08134,1.01645,0.923755,0.816304,0.707797,0.609029,0.524761,0.455324,0.398731,0.351985
0.597602,0.567268,0.537483,0.507399,0.477702,0.450202,0.427497,0.412829,0.409744,0.42044,0.445848,0.485404,0.535667,0.587896,0.62723,0.639762,0.618763,0.567678,0.49844,0.42621,0.363411,0.315384,0.282809,0.264563,0.259273,0.265838,0.283461,0.311842,0.350726,0.399114,0.454254,0.51054,0.559364,0.592305,0.60417,0.594886,0.569625,0.537241,0.507347,0.486162,0.476758,0.480257,0.496417,0.523444,0.557733,0.595473,0.633138,0.667777,0.69748,0.721847,0.741977,0.759218,0.774724,0.78938,0.803736,0.81797,0.831818,0.844423,0.854265,0.859161,0.856329,0.842585,0.815129,0.773599,0.720352,0.659784,0.597316
0.386687,0.378742,0.372391,0.369921,0.372921,0.382499,0.399411,0.424047,0.456303,0.495427,0.539612,0.585457,0.627491,0.658037,0.668587,0.654283,0.616118,0.560529,0.497128,0.435839,0.384335,0.345897,0.320987,0.308958,0.308941,0.320054,0.341304,0.37178,0.410237,0.454451,0.500576,0.542663,0.573235,0.586438,0.580252,0.557197,0.523555,0.48766,0.457575,0.437979,0.430814,0.436431,0.453959,0.480866,0.512622,0.54496,0.574919,0.601528,0.626469,0.654602,0.693392,0.748577,0.822476,0.912117,1.00571,1.07864,1.0974,1.04446,0.930787,0.788948,0.655734,0.559187,0.516292,0.535617,0.633232,0.845605,1.23546
0.53075,0.498498,0.46581,0.430323,0.392896,0.356532,0.325303,0.303711,0.296233,0.305839,0.335123,0.386734,0.461582,0.553761,0.644674,0.70887,0.725171,0.687974,0.610584,0.517509,0.431411,0.363075,0.314608,0.284413,0.270068,0.269453,0.280988,0.303956,0.338026,0.382462,0.435093,0.491098,0.542524,0.580876,0.599852,0.59747,0.576832,0.545163,0.511216,0.481354,0.459258,0.446781,0.44469,0.453098,0.471715,0.500411,0.539175,0.587868,0.645895,0.711793,0.782808,0.854678,0.921502,0.975897,1.00962,1.01473,0.986195,0.926831,0.847073,0.761425,0.684654,0.62987,0.608105,0.62654,0.692634,0.81665,1.00922
0.745336,0.664492,0.589835,0.518788,0.452635,0.394501,0.347937,0.316429,0.303286,0.310436,0.339923,0.394302,0.474322,0.572628,0.666565,0.725861,0.727586,0.669913,0.573386,0.46824,0.378309,0.312073,0.268933,0.245596,0.239043,0.247266,0.269084,0.304373,0.353355,0.415458,0.48788,0.563974,0.632731,0.682237,0.703825,0.695315,0.661879,0.614134,0.564077,0.519887,0.485799,0.463493,0.453221,0.454438,0.466178,0.48777,0.518819,0.558962,0.607603,0.663606,0.725049,0.789335,0.853245,0.913056,0.964799,1.00463,1.02912,1.03504,1.0196,0.980957,0.918733,0.834524,0.73259,0.62093,0.509281,0.406411,0.318282
0.742371,0.651513,0.572378,0.504948,0.449366,0.405854,0.374823,0.357174,0.354438,0.367914,0.398864,0.448218,0.515038,0.593421,0.669679,0.726442,0.748502,0.728864,0.671957,0.591606,0.504635,0.423672,0.355765,0.303722,0.268031,0.248673,0.246323,0.262308,0.299286,0.360913,0.449131,0.557379,0.662659,0.7332,0.74494,0.696471,0.609853,0.516997,0.44328,0.397877,0.381471,0.392998,0.431437,0.493442,0.569011,0.644186,0.704349,0.739209,0.747659,0.739249,0.730035,0.732054,0.751832,0.791326,0.84738,0.90922,0.957619,0.974864,0.951876,0.891504,0.807157,0.717522,0.639406,0.580387,0.54127,0.519328,0.509567
0.624255,0.529022,0.447583,0.377902,0.319648,0.27308,0.238581,0.216756,0.208626,0.215038,0.237497,0.278361,0.339419,0.417806,0.500523,0.567228,0.598174,0.584336,0.532685,0.461994,0.392141,0.334146,0.291508,0.264001,0.250209,0.248732,0.258594,0.279545,0.311693,0.354778,0.407063,0.46385,0.516714,0.556458,0.576343,0.574595,0.555191,0.526622,0.498801,0.478422,0.468961,0.47184,0.487055,0.513077,0.546675,0.584599,0.624088,0.663146,0.700978,0.738459,0.777957,0.820995,0.867251,0.914002,0.955519,0.982719,0.984918,0.95665,0.900266,0.824927,0.743583,0.66963,0.61379,0.580337,0.569383,0.578859,0.60445
0.488532,0.52695,0.560616,0.576267,0.566483,0.532599,0.483962,0.433979,0.394888,0.372553,0.368791,0.383912,0.417187,0.465242,0.519792,0.570002,0.604777,0.61581,0.600585,0.563385,0.513144,0.458775,0.407217,0.363136,0.329378,0.307809,0.299986,0.30692,0.32962,0.369065,0.425026,0.493348,0.56322,0.620583,0.652919,0.654218,0.627747,0.584743,0.539235,0.500709,0.473875,0.460472,0.460584,0.47315,0.496169,0.527942,0.567161,0.612747,0.663825,0.719811,0.780334,0.844251,0.909095,0.970725,1.0231,1.0584,1.06839,1.04856,0.99993,0.928678,0.844447,0.757994,0.678505,0.610467,0.554615,0.509455,0.472217
