rdev1_1951,rdev1_1952,rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017
0.162832,0.21145,0.72717,-0.013593,-0.370278,-0.818361,-0.551187,0.00344312,-0.150294,-0.561068,0.209208,0.290029,0.420544,-0.285023,-0.303838,0.214641,0.057867,0.101316,0.415357,0.327304,-0.0456892,-0.219164,-0.31654,-0.0266256,-0.662802,-0.0879903,-0.498334,-1.15036,-0.601315,-0.803942,-0.719528,-0.929022,-0.990554,-0.51517,0.241687,-0.480526,0.568229,-0.722008,0.309712,-0.206627,0.617379,0.160656,0.470554,-0.313453,0.278692,0.526504,0.63622,-0.120564,0.110364,0.366978,0.604889,0.609792,0.306984,0.239428,0.201443,0.775345,-0.612177,0.695544,-1.13182,0.642983,0.342079,-0.261206,0.464166,0.591765,0.437443,0.50699,0.681391
-0.284426,-0.136856,0.424651,0.179182,-0.367878,-0.840798,-0.453683,0.0932476,0.135897,-0.762921,0.40404,0.325788,0.566182,0.292485,-0.598934,0.175819,-0.40887,-1.13693,-0.140174,-0.178734,-0.237765,-0.292707,-0.148693,0.0656035,-0.432185,0.104249,-0.0765519,-0.791205,-0.371916,-0.65404,-0.636627,-0.861389,-0.804193,-0.1796,0.307748,-0.114061,0.78128,-0.330614,0.508286,-0.126696,0.680445,0.355423,0.42718,-0.242328,0.22779,0.46306,0.519975,-0.476316,0.0591438,0.366441,0.50855,0.595891,0.187764,0.343109,0.248386,0.804612,-0.449586,0.754157,-0.889637,0.808623,0.096637,-0.414776,0.199053,0.25165,0.156365,0.520338,0.853136
0.29506,0.403287,0.299,0.208255,-0.495327,-0.992746,-0.338961,0.114509,0.123548,-0.600213,0.162941,0.56811,0.653303,-0.0212859,-0.301633,-0.329625,-0.357498,-0.746157,-0.0458631,0.0749543,-0.248239,-0.368551,-0.135894,0.0399201,-0.510081,0.0365382,-0.199543,-0.700379,-0.238081,-0.466087,-0.409868,-0.596964,-0.807168,-0.224124,0.351613,-0.310166,0.519227,-0.730525,0.300364,-0.28675,0.559247,0.268751,0.515737,-0.273935,0.364309,0.723155,0.696945,-0.209829,0.197812,0.293378,0.536468,0.58223,0.0924593,0.264705,0.336133,0.78488,-0.419198,0.85826,-0.599654,0.850936,0.345177,-0.4609,0.0883883,-0.0704521,-0.0667723,-0.0600558,-0.0628539
0.047027,-0.0744021,0.804926,0.301853,-0.425803,-0.847013,-0.243583,0.346212,0.408771,-0.415289,0.665385,0.524758,0.781725,0.178941,-0.205827,0.275144,-0.0046138,-1.29117,0.134204,0.22171,-0.337014,-0.293272,-0.17077,-0.00979803,-0.474171,-0.000465717,-0.128503,-0.763599,-0.536006,-0.433946,-0.519099,-0.732194,-0.871675,-0.236187,0.327213,-0.255004,0.645363,-0.655761,0.528108,-0.312495,0.60544,0.296409,0.685476,-0.400535,0.293477,0.707269,0.529864,-0.355182,0.0996414,0.286778,0.594262,0.574834,0.179113,0.129003,0.216647,0.577398,-0.627653,0.497535,-1.25409,0.481391,-0.156872,-0.73608,-0.156115,-0.129527,0.0395413,0.38852,0.60946
-0.0497935,-0.027406,0.680699,0.3415,-0.209905,-0.503304,-0.519998,0.3131,0.203576,-0.527544,0.750441,0.252763,0.701049,-0.0927736,-0.19545,-0.211548,-0.53528,-0.431097,0.0898129,0.156487,0.00865971,-0.127179,-0.153302,0.104109,-0.567463,-0.00807241,-0.258753,-0.709731,-0.339959,-0.354663,-0.335228,-0.425739,-0.608356,-0.119452,0.405419,-0.365916,0.504827,-0.617551,0.318195,-0.283843,0.683607,0.461794,0.688968,-0.165735,0.495336,0.761848,0.579756,-0.306743,0.0757961,0.163623,0.30362,0.493838,0.0788343,0.283117,0.29781,0.900195,-0.536703,0.666586,-1.1818,0.352349,-0.152295,-1.00275,-0.242152,-0.33884,-0.0714813,0.0581655,0.320755
-0.0763859,-0.162134,0.534344,0.239581,-0.342952,-0.469483,-0.453437,0.408427,0.0570063,-0.610226,0.57048,0.132029,0.64226,-0.16923,-0.735912,-0.271403,-1.04309,-1.25075,-0.173947,-0.0837431,-0.329087,-0.250961,-0.0673433,0.12273,-0.310373,0.102311,-0.103237,-0.686729,-0.208465,-0.271983,-0.299157,-0.278019,-0.748329,-0.107349,0.491944,-0.168156,0.720347,-0.508862,0.345497,-0.117248,0.733078,0.322547,0.656068,-0.0681801,0.47349,0.729729,0.733973,-0.232106,0.256101,0.397612,0.442507,0.529424,-0.020899,0.156309,0.0228954,0.601564,-0.778276,0.426368,-1.09735,0.60085,-0.0215388,-0.529333,0.00817634,0.0878812,0.0978399,0.584965,1.0006
0.142141,0.28505,0.559876,0.59727,-0.507417,-0.541648,-0.744093,0.221182,0.172714,-0.856517,0.0998418,0.167153,0.441792,-0.147375,-0.211056,-0.360043,-0.199135,-1.09063,0.0170618,0.05155,-0.502393,-0.53492,-0.420755,-0.224728,-0.67874,-0.0487486,-0.275376,-0.700903,-0.267751,-0.31627,-0.315279,-0.292388,-0.688895,-0.0608089,0.468566,-0.318881,0.434439,-0.768001,0.0155147,-0.241594,0.658978,0.42187,0.790106,0.0417189,0.650782,0.956769,0.968134,-0.0455654,0.227404,0.238882,0.441628,0.581117,-0.0420155,0.178501,0.10473,0.828149,-0.419244,0.548947,-1.21743,0.645036,-0.0489448,-0.602835,0.0226204,0.0169233,0.250761,0.380822,0.866879
-0.0124167,-0.0865686,0.621989,0.186232,-0.585513,-0.984187,-0.412542,-0.184565,-0.0187023,-0.805872,0.274823,0.157634,0.554777,0.210393,-0.140953,-0.280849,0.383801,-1.01947,0.106335,-0.21718,-0.163243,-0.406738,-0.198732,0.0433723,-0.297893,0.0672206,-0.208636,-0.810079,-0.108607,-0.5774,-0.525632,-0.573153,-1.09099,-0.334575,0.260395,-0.334884,0.591917,-0.672134,0.407167,-0.104155,0.810007,0.585128,0.817777,-0.163343,0.531885,0.965316,0.875899,0.0816178,0.287759,0.542905,0.735493,0.816303,0.245551,0.350355,0.159197,0.591282,-0.534915,0.525904,-1.34783,0.387104,-0.0208948,-0.772608,-0.0449812,0.00128028,0.135052,0.262095,0.404691
-0.211826,0.367599,0.441528,0.375325,-0.161493,-0.571723,-0.567955,0.107408,-0.028319,-0.700011,0.353059,0.166762,0.616781,0.0339755,-0.326684,-0.172522,-0.533815,-0.904167,-0.322779,-0.343197,-0.550357,-0.521024,-0.467157,-0.0573672,-0.355765,0.0751693,-0.219523,-0.798743,-0.175169,-0.592987,-0.400042,-0.693793,-0.975613,-0.395959,0.244747,-0.409472,0.470511,-0.789088,0.351877,-0.330877,0.567582,0.244815,0.653705,-0.200984,0.3928,0.766438,0.763525,-0.0181714,0.470652,0.757482,0.902087,0.946998,0.470592,0.478081,0.359742,0.844578,-0.557107,0.767384,-1.17435,0.580561,0.152263,-0.463501,0.0911958,0.209225,0.181266,0.337902,0.465757
0.129157,0.0358031,0.347878,0.283983,-0.571507,-0.601173,-0.614574,0.130793,0.0885499,-0.499386,0.276171,0.260543,0.490108,-0.0631594,-0.67203,-0.376001,-0.442717,-0.820377,-0.0104361,-0.200212,-0.14548,-0.414488,-0.235947,-0.0268381,-0.485382,-0.0553957,-0.405664,-1.04857,-0.344633,-0.621696,-0.516313,-0.577517,-0.891574,-0.248307,0.362743,-0.44185,0.3667,-0.808628,0.152779,-0.364288,0.58806,0.421045,0.7138,0.176875,0.74064,1.11341,1.00991,0.173807,0.420723,0.433702,0.802207,0.56715,0.3189,0.333511,0.146626,0.904865,-0.611831,0.745609,-1.0455,0.74998,0.246666,-0.439793,0.181552,0.175372,0.102364,0.313283,0.46757
