m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017
0.480703,0.436789,0.394417,0.351301,0.308641,0.269494,0.237409,0.215817,0.207949,0.216251,0.244195,0.297674,0.38478,0.511913,0.674716,0.853395,1.01337,1.11631,1.13849,1.08355,0.977999,0.851596,0.727155,0.618404,0.5316,0.468425,0.428368,0.409606,0.410256,0.428714,0.462914,0.50859,0.557766,0.601466,0.632023,0.645261,0.642043,0.628341,0.613001,0.602493,0.600129,0.6066,0.62012,0.636059,0.647406,0.648842,0.638435,0.61794,0.59234,0.568903,0.555465,0.556696,0.574319,0.607479,0.651715,0.696755,0.726402,0.727692,0.696954,0.641168,0.574765,0.514298,0.473413,0.458165,0.47076,0.512391,0.582427
0.356357,0.326223,0.298986,0.275281,0.255902,0.241782,0.234107,0.234597,0.245784,0.270578,0.312554,0.375875,0.463915,0.575576,0.70021,0.818792,0.908787,0.952316,0.94402,0.893464,0.81953,0.73909,0.663437,0.598786,0.547755,0.510849,0.487541,0.476927,0.477975,0.489499,0.509866,0.536498,0.565641,0.593602,0.617354,0.63496,0.645954,0.651562,0.654276,0.656038,0.657723,0.659114,0.658887,0.654631,0.643493,0.624465,0.598861,0.569922,0.542217,0.521169,0.512288,0.518881,0.542315,0.58211,0.634741,0.691226,0.736151,0.754583,0.738005,0.687688,0.614073,0.532367,0.456296,0.392375,0.341593,0.302106,0.270837
0.709448,0.552685,0.435279,0.353132,0.299333,0.267674,0.253807,0.255314,0.27147,0.30313,0.352294,0.421303,0.511293,0.619492,0.736265,0.84621,0.931448,0.976887,0.975623,0.931529,0.85713,0.767453,0.676001,0.592904,0.524725,0.475414,0.447307,0.440797,0.455603,0.491099,0.545026,0.610471,0.673461,0.718542,0.734553,0.719145,0.679939,0.631643,0.59009,0.564368,0.557916,0.570847,0.600357,0.63922,0.674885,0.69562,0.694537,0.671765,0.634383,0.594168,0.56358,0.549841,0.555951,0.58234,0.626638,0.681481,0.732796,0.765485,0.768319,0.737774,0.679365,0.605338,0.529257,0.459497,0.399373,0.34902,0.306866
0.514708,0.462077,0.416946,0.381607,0.356929,0.34319,0.34067,0.350055,0.372651,0.410207,0.464645,0.537342,0.627621,0.730265,0.833424,0.921538,0.979512,0.997407,0.973971,0.917074,0.840268,0.756528,0.675769,0.604572,0.546786,0.50453,0.478931,0.46993,0.476834,0.498446,0.532439,0.574051,0.615342,0.648345,0.66731,0.670284,0.65985,0.642692,0.627451,0.62002,0.623097,0.636724,0.658197,0.681368,0.697056,0.698257,0.682609,0.652877,0.616075,0.581786,0.559688,0.555173,0.570121,0.603721,0.65136,0.701811,0.736437,0.738956,0.703005,0.634868,0.55025,0.467298,0.399589,0.351244,0.320864,0.304957,0.298948
0.453653,0.442413,0.430494,0.416932,0.402101,0.387503,0.375548,0.369469,0.373072,0.389504,0.421486,0.471523,0.541269,0.629654,0.730452,0.833062,0.923659,0.987664,1.01354,0.996412,0.939764,0.854443,0.755177,0.656514,0.570047,0.503738,0.462263,0.446399,0.455575,0.489037,0.544634,0.615144,0.684824,0.735598,0.754048,0.737227,0.694229,0.642494,0.600448,0.578254,0.579586,0.604385,0.648741,0.701901,0.744581,0.759212,0.737884,0.685678,0.618113,0.554771,0.512481,0.498848,0.51658,0.566619,0.646366,0.742509,0.824142,0.856727,0.820729,0.723709,0.59558,0.470812,0.371758,0.302251,0.257347,0.230261,0.214356
0.271346,0.285303,0.298269,0.307545,0.311776,0.311322,0.308294,0.306357,0.310093,0.323223,0.348722,0.389142,0.446218,0.519307,0.603277,0.689394,0.766415,0.822695,0.849316,0.8429,0.806571,0.748305,0.678485,0.60747,0.543972,0.494633,0.46407,0.453936,0.464433,0.49506,0.543724,0.604154,0.663774,0.7087,0.728539,0.720256,0.689563,0.64899,0.612919,0.590121,0.584189,0.595353,0.620827,0.653642,0.682246,0.696325,0.690237,0.664589,0.625947,0.58482,0.552178,0.534275,0.53348,0.549739,0.5806,0.619811,0.656269,0.677976,0.675206,0.643337,0.584549,0.507103,0.422096,0.339193,0.26494,0.202636,0.152972
0.537499,0.488988,0.441905,0.393447,0.344888,0.299716,0.261985,0.235487,0.223501,0.228083,0.25193,0.299715,0.377782,0.490609,0.633186,0.787775,0.924785,1.01172,1.02799,0.975632,0.876489,0.757244,0.639894,0.538528,0.460122,0.407315,0.380948,0.380627,0.406583,0.459868,0.539846,0.638084,0.732055,0.793782,0.803335,0.759964,0.682601,0.599666,0.535757,0.501319,0.498753,0.527938,0.58651,0.664958,0.74095,0.78871,0.790497,0.745622,0.670834,0.591688,0.530789,0.497924,0.495422,0.523133,0.578665,0.652934,0.724881,0.769048,0.765692,0.710365,0.616505,0.508055,0.406837,0.322825,0.257199,0.207141,0.168702
0.361871,0.341569,0.320275,0.29593,0.269391,0.24345,0.221805,0.208531,0.207968,0.224,0.261835,0.329406,0.436572,0.588837,0.774015,0.957988,1.09299,1.1404,1.09387,0.982613,0.850582,0.728218,0.62925,0.556825,0.509064,0.482305,0.472639,0.477131,0.493501,0.51942,0.551775,0.585936,0.615744,0.635888,0.643423,0.638551,0.62469,0.607894,0.595289,0.591595,0.598926,0.617196,0.643903,0.673291,0.696522,0.706357,0.699603,0.67791,0.647311,0.616845,0.596111,0.590687,0.602524,0.630672,0.670482,0.711512,0.737358,0.73426,0.697062,0.631129,0.549749,0.468581,0.399748,0.347326,0.310313,0.285582,0.269079
0.324944,0.344538,0.359492,0.360709,0.344791,0.315296,0.280802,0.251349,0.235397,0.237477,0.261483,0.313348,0.401036,0.529396,0.688472,0.84987,0.972669,1.02197,0.989522,0.898468,0.786657,0.681297,0.595345,0.532408,0.491449,0.469607,0.463594,0.470894,0.489488,0.517209,0.551045,0.586429,0.617239,0.638111,0.645956,0.640767,0.625716,0.606583,0.590189,0.581097,0.581402,0.591205,0.608617,0.629287,0.646658,0.655497,0.653483,0.641666,0.624289,0.608136,0.600961,0.607566,0.629659,0.665937,0.710913,0.75281,0.774179,0.762408,0.715997,0.644891,0.565809,0.496026,0.448425,0.42764,0.434554,0.469341,0.530683
0.436638,0.366241,0.309255,0.26607,0.235581,0.216376,0.207384,0.208222,0.21937,0.242144,0.278679,0.331666,0.40349,0.494323,0.599492,0.709129,0.808971,0.88313,0.918634,0.909808,0.860258,0.781375,0.688362,0.595895,0.515324,0.454159,0.416643,0.403421,0.414054,0.448112,0.503882,0.574547,0.644416,0.694972,0.712293,0.693405,0.647911,0.593776,0.549472,0.524976,0.523989,0.547107,0.592146,0.651466,0.709384,0.749149,0.759157,0.7375,0.692879,0.641247,0.599381,0.576539,0.576059,0.597862,0.63847,0.688516,0.731108,0.749642,0.734176,0.685246,0.613449,0.534734,0.463546,0.406351,0.36373,0.333352,0.311462
