sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018
47.5233,48.4197,75.6356,101.184,84.3123,44.0455,24.6894,36.1781,49.918,44.558,42.7095,47.475,49.0936,41.658,24.5819,16.9067,12.8167,18.6345,24.1654,30.4789,33.0515,30.0739,33.4755,40.6062,48.3915,55.9421,64.2579,53.2464,46.5724,48.027,48.354,44.0114,30.963,28.0074,36.8907,53.9796,54.8151,68.7625,62.8618,69.5199,74.6886,90.4765,90.034,75.9554,70.1332,71.762,75.5698,75.4511,70.7296,68.5756,89.3322,95.7302,95.4403,82.0868,69.4981,58.6362,63.5535,42.2929,46.7484,39.5593,60.8831,71.7925,73.3891,94.1092,99.6381,104.585,97.8714,107.038
43.9124,35.0524,58.5956,82.4563,78.3011,49.6938,27.6781,42.0303,55.0994,54.6607,44.683,52.6936,46.4696,38.156,28.0813,15.9585,9.451,12.0439,14.5748,22.8189,28.3676,29.2838,36.5581,46.6081,54.8447,62.1525,70.7744,63.5712,56.0233,53.8816,50.7329,43.591,30.9069,31.1988,44.492,63.3698,68,84.2415,75.0911,76.2246,75.7944,86.513,85.4438,69.1009,65.0235,66.5357,71.7089,70.8299,66.1408,65.9003,89.0804,95.7536,96.1617,83.5323,74.5855,62.4388,64.9833,43.1391,45.434,38.9661,58.4636,60.0869,58.8563,72.7121,81.163,106.182,150.377,221.006
60.5804,50.5848,73.3752,83.2282,75.2766,45.2047,23.5856,43.4115,60.857,63.7536,53.9877,52.0945,49.8739,44.359,25.5724,12.6075,6.10224,11.6958,16.9333,26.7943,33.8171,32.2224,38.2653,49.8862,60.0121,70.1765,81.927,73.4198,69.3407,68.9114,65.2654,54.7625,36.769,30.5358,39.2225,54.2181,54.1898,67.3466,63.8458,74.1759,83.0561,102.134,104.578,89.489,78.8957,80.137,83.3381,76.7228,67.7989,65.3222,84.2258,92.7238,94.3466,81.0552,75.0478,68.3369,72.1382,48.379,53.4837,44.5095,62.9197,64.0218,56.7746,62.0068,59.4991,68.7505,79.0096,109.234
50.3738,44.9639,66.2993,104.931,99.3247,56.2759,30.2149,47.0275,68.6265,71.3018,63.4344,69.6485,59.4095,42.4187,27.2432,16.8799,13.2497,17.2244,18.7667,31.9943,40.3267,36.727,42.8515,52.0381,59.5516,68.013,77.0644,68.995,64.4948,60.6975,59.4017,51.5452,36.1398,32.8071,44.3287,62.922,64.8954,80.3944,75.0479,82.9068,83.7508,96.1342,98.194,85.9682,72.9859,75.0677,80.7686,73.506,65.8143,64.8502,85.792,95.7106,97.0438,83.1592,71.1607,58.8167,59.7466,39.387,41.7367,35.6475,55.0143,58.3887,57.7522,69.0506,72.6404,97.5085,133.771,191.278
67.6215,61.3388,79.0542,107.268,93.1182,56.5398,34.2374,45.0581,61.1091,57.5871,57.8008,75.8826,48.1069,45.1208,29.4376,16.4941,7.13264,12.6507,20.2443,29.7074,35.3412,34.6521,40.6522,49.5783,58.006,66.2048,76.8776,68.2025,67.7982,68.8613,70.0346,62.2096,44.1729,38.157,46.0538,59.8291,57.7312,71.0068,68.39,78.4637,88.7989,113.629,119.069,98.1443,84.0241,83.371,82.9813,73.0228,65.7406,65.3514,85.7393,93.9587,100.62,90.3407,82.3243,71.0841,70.6061,41.6831,40.2607,30.5719,44.2003,49.0421,49.2182,62.0466,68.2949,97.2884,131.651,194.733
40.4255,46.2403,71.6421,97.8721,88.6011,54.4034,31.4173,44.5705,63.9943,53.7229,47.8872,58.944,44.9174,45.1264,25.6803,12.7844,5.75049,8.52791,13.9777,25.2222,31.9533,30.7432,37.8115,48.8922,58.1751,69.1122,80.0407,70.2458,66.8157,66.6996,66.6995,59.5109,42.9291,35.389,43.362,58.9522,59.1336,74.1233,67.4422,73.8735,82.4618,102.26,102.47,89.0377,81.1832,81.1245,81.1878,74.2833,66.2279,65.9456,84.4987,87.5171,85.5572,72.2162,66.8882,57.2642,61.9185,41.2789,42.0047,35.3659,53.0491,55.6081,54.7059,68.546,81.6586,121.336,201.597,328.68
55.7301,47.3811,67.6606,75.0246,80.2864,43.6533,23.4102,34.5473,57.0156,60.8886,48.397,49.3541,38.5597,40.3829,26.5244,14.8574,6.35892,11.0788,13.8145,22.7434,27.6342,23.8292,28.1909,37.6165,47.3632,59.3229,73.2904,69.0028,69.8692,70.9425,69.6059,58.6512,38.9641,29.5419,36.3664,49.2777,47.988,60.012,56.9448,65.7359,81.5073,110.623,120.334,104.857,89.673,84.8056,82.8791,75.1864,64.9772,61.7306,78.4105,87.9289,94.0526,82.4281,75.0932,64.2709,69.7144,44.4026,39.5099,31.6502,47.9391,50.1898,50.1495,67.289,81.0336,122.618,183.899,288.286
41.0533,43.5458,68.271,95.0241,85.0953,43.716,21.942,37.4569,46.5617,43.7448,38.5922,46.2912,40.7304,39.1232,28.4201,14.5468,7.11744,13.1019,14.3242,21.9454,26.4298,29.1357,36.8192,49.5102,60.0515,71.4198,78.8429,65.62,59.4476,59.5633,55.1498,47.2479,33.0442,27.2888,37.4904,55.523,58.8638,74.1991,69.0694,76.7142,85.0698,108.869,115.574,99.3441,86.002,88.0072,95.3002,89.3615,79.65,74.8965,94.9748,102.256,101.465,83.4813,71.3876,54.5578,54.6619,36.0319,38.3556,31.2594,47.4225,52.7393,51.0232,64.0385,71.153,95.7987,122.601,170.083
48.6962,42.419,76.0926,89.4615,83.9318,50.1701,25.9387,37.687,48.5777,44.8273,40.7678,49.2815,45.7256,41.91,28.2813,14.1117,5.8162,8.85533,12.2364,18.8025,23.8139,24.4312,30.9825,41.3643,53.0227,65.7857,75.7921,63.0391,58.4026,57.7352,53.7374,47.1195,31.1012,26.2561,35.4813,52.5464,53.1544,65.3295,60.6469,68.4843,73.6218,88.5034,92.6321,85.1363,79.1026,82.2645,88.5855,83.65,78.0518,82.0446,110.336,116.819,113.687,91.8122,76.2113,59.7572,60.4673,39.1288,44.2922,37.1173,55.5055,62.3426,59.7755,69.0229,68.6043,74.0346,75.1421,90.2317
42.3616,41.0164,65.4267,85.6915,81.4461,45.8821,23.5421,36.7286,53.8634,52.759,47.7829,53.6588,45.9932,39.6588,25.166,10.186,4.40859,10.5093,16.4772,24.9945,28.2624,27.2465,31.1648,40.2607,49.5452,59.6352,68.2163,57.2871,52.7721,55.4142,53.6684,47.6762,31.8079,26.5316,34.9316,49.9864,48.3665,58.1789,54.9301,63.9776,73.8184,97.8341,107.175,96.2588,90.8959,94.886,98.3587,87.356,75.4999,69.5706,86.355,93.3133,90.6505,79.1009,69.9669,58.3557,65.2759,41.9712,44.0768,36.9339,56.0172,60.1763,57.6528,69.2178,72.581,88.1394,109.239,150.381
