ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
1394.2,0.788246,0.495629,1008.45,261.771,0.322386,1.85383, 194.829, 128.656,1.03642,0.991643,126.95,2.65273,0.300965,2.90133,0.345271,4.69324,0.411374,2.055,0.05,2.055,0.05,-1299.22
1500.83,0.73626,0.641561,1023.59,209.166,0.289146,1.91518, 144.854, 135.912,1.0074,0.988691,80.2641,2.66777,0.310412,2.91182,0.345623,4.64201,0.405925,2.055,0.05,2.055,0.05,-1301.44
1883.42,0.569376,0.66597,1039.51,259.892,0.277042,1.62789, 257.517, 165.45,1.0212,0.996864,130.621,2.66841,0.293107,2.89829,0.340342,4.56195,0.38546,2.055,0.05,2.055,0.05,-1292.26
1802.32,0.699501,0.387489,1018.94,43.2786,0.27599,1.6372, 302.635, 173.523,1.0042,0.996822,175.015,2.59937,0.265552,2.85382,0.32867,4.6453,0.395584,2.055,0.05,2.055,0.05,-1295.55
1590.01,0.751961,0.436608,1130.76,244.16,0.38361,1.77613, 214.787, 137.115,0.935829,0.997294,134.124,2.65802,0.288742,2.90627,0.333448,4.60615,0.397281,2.055,0.05,2.055,0.05,-1315.43
1511.76,0.840183,0.33352,1023.5,39.3762,0.302555,1.42824, 154.47, 135.774,1.05941,0.996989,92.7937,2.66116,0.300273,2.95603,0.348025,4.59277,0.384515,2.055,0.05,2.055,0.05,-1323.18
1695.09,0.692418,0.473876,1150.43,225.391,0.317346,1.73187, 298.188, 132.775,0.967876,1.00191,175.282,2.70982,0.304928,2.8982,0.325889,4.62817,0.386009,2.055,0.05,2.055,0.05,-1291.23
1707.03,0.639385,0.406988,1070.78,109.156,0.278884,1.84554, 270.68, 146.269,0.99699,1.01647,128.733,2.64173,0.292519,2.86874,0.324148,4.641,0.396628,2.055,0.05,2.055,0.05,-1311.77
1243.35,0.790712,0.386486,1022.35,137.141,0.401424,1.68306, 141.497, 113.235,1.05845,1.00528,98.7126,2.6428,0.29854,2.88854,0.330806,4.69654,0.408329,2.055,0.05,2.055,0.05,-1322.1
1401.22,0.863138,0.540079,1009.38,129.826,0.335809,1.70687, 196.736, 128.729,1.11322,0.995737,130.957,2.752,0.332747,2.90744,0.332426,4.71532,0.416296,2.055,0.05,2.055,0.05,-1293.99
1633.2,0.794491,0.365328,1021.21,44.0327,0.203349,1.45027, 231.543, 149.234,1.02264,0.99989,136.218,2.69477,0.315377,2.93036,0.346842,4.70527,0.419836,2.055,0.05,2.055,0.05,-1295.18
2075.1,0.659359,0.549346,1020.21,99.3431,0.306042,1.60913, 437.966, 191.44,1.03236,1.00865,131.643,2.70404,0.316635,2.90741,0.338198,4.69645,0.414872,2.055,0.05,2.055,0.05,-1302.5
1460.31,0.748055,0.529694,986.563,200.316,0.320145,1.60735, 176.44, 141.255,1.02217,1.01243,130.579,2.6736,0.314326,2.88314,0.330754,4.64163,0.397129,2.055,0.05,2.055,0.05,-1303.31
1443.86,0.856117,0.403308,1091.43,268.71,0.307333,1.4065, 268.926, 125.872,0.997147,0.992785,196.372,2.64004,0.287026,2.90089,0.3259,4.69706,0.416057,2.055,0.05,2.055,0.05,-1297.91
1697.12,0.726547,0.367464,995.928,114.908,0.191418,1.62379, 235.57, 159.365,1.10843,0.99478,140.632,2.61728,0.283153,2.90643,0.342993,4.64266,0.404927,2.055,0.05,2.055,0.05,-1296.41
1861.53,0.703382,0.276231,1066.66,57.3047,0.273131,1.76319, 239.757, 160.543,0.992053,0.999562,108.466,2.60809,0.280678,2.90927,0.348234,4.72887,0.41608,2.055,0.05,2.055,0.05,-1296.94
1258.05,0.681072,0.330801,953.963,71.7974,0.314143,1.69792, 177.464, 126.692,1.05303,0.996797,82.6678,2.59818,0.284629,2.88454,0.324955,4.66764,0.40747,2.055,0.05,2.055,0.05,-1309.98
1661.31,0.729174,0.453888,942.781,157.31,0.224125,1.351, 367.029, 158.473,1.16783,0.974823,111.487,2.59534,0.287972,2.87331,0.320796,4.69009,0.416566,2.055,0.05,2.055,0.05,-1256.95
1448.96,0.802466,0.522877,933.961,200.698,0.271194,1.32133, 149.35, 140.891,1.19343,0.985454,84.9762,2.59243,0.272951,2.90863,0.332018,4.73928,0.418939,2.055,0.05,2.055,0.05,-1266.28
1524.53,0.691739,0.453263,915.826,106.649,0.231223,1.34974, 186.737, 154.318,1.23241,0.989271,105.763,2.61159,0.283984,2.90308,0.332322,4.68002,0.403203,2.055,0.05,2.055,0.05,-1284.22
1558.56,0.737891,0.691876,980.468,224.452,0.197224,1.30899, 178.331, 146.673,1.15704,0.983526,101.391,2.60189,0.283788,2.89555,0.333801,4.71475,0.412773,2.055,0.05,2.055,0.05,-1298.84
1359.95,0.732129,0.608062,976.915,212.474,0.298879,1.31426, 194.184, 125.891,1.09378,1.00577,127.207,2.6062,0.282248,2.9326,0.349163,4.65323,0.400369,2.055,0.05,2.055,0.05,-1303.21
1299.82,0.748121,0.295249,898.524,40.0248,0.315003,1.51745, 159.333, 133.344,1.13913,1.01097,90.5212,2.63033,0.300989,2.85424,0.340311,4.64068,0.4096,2.055,0.05,2.055,0.05,-1298.18
1181.17,0.875554,0.365414,938.572,38.3953,0.329339,1.16746, 173.529, 108.087,1.14285,1.0016,86.2177,2.64107,0.303273,2.91281,0.352693,4.64457,0.404469,2.055,0.05,2.055,0.05,-1288.85
1670.21,0.729262,0.523751,989.257,152.871,0.23816,1.53867, 192.505, 145.494,1.07664,0.982644,90.605,2.67383,0.303955,2.90343,0.339363,4.67093,0.40442,2.055,0.05,2.055,0.05,-1303.7
1990.27,0.623131,0.483795,1116.32,128.292,0.289552,1.63254, 328.941, 163.449,0.946583,0.98276,121.9,2.69253,0.310935,2.93886,0.345716,4.77798,0.414552,2.055,0.05,2.055,0.05,-1297.9
1836.18,0.645496,0.509947,1196.72,141.604,0.231751,1.86509, 206.063, 130.374,0.959533,0.995069,146.175,2.69341,0.289545,2.94255,0.349856,4.6904,0.402292,2.055,0.05,2.055,0.05,-1272.55
1868.24,0.667205,0.542617,1191.56,185.419,0.205681,1.61349, 143.147, 138.378,0.900619,1.00968,69.8684,2.71143,0.308256,2.92306,0.347117,4.74065,0.41332,2.055,0.05,2.055,0.05,-1293.13
2151.3,0.526032,0.302209,1016.57,30.0428,0.305858,1.71521, 288.635, 187.104,0.995851,1.01018,172.408,2.64259,0.295106,2.90885,0.340706,4.66933,0.405519,2.055,0.05,2.055,0.05,-1283.71
2204.7,0.612985,0.37692,1069.47,142.206,0.240658,1.61186, 314.752, 179.04,0.972704,1.00145,98.2777,2.64285,0.276084,2.88036,0.332449,4.70578,0.415763,2.055,0.05,2.055,0.05,-1308.55
1732.2,0.731565,0.481034,1099.28,247.764,0.247426,1.29205, 234.195, 144.024,0.924203,0.999504,141.332,2.67129,0.3043,2.91676,0.337719,4.63254,0.384302,2.055,0.05,2.055,0.05,-1286.24
1638.74,0.734389,0.373264,1094.5,117.387,0.211703,1.51598, 130.346, 139.719,0.963298,0.994565,82.1177,2.58956,0.260442,2.91488,0.339682,4.68286,0.399779,2.055,0.05,2.055,0.05,-1295.34
1727.63,0.839436,0.344245,1146.82,119.998,0.332568,1.53438, 218.117, 140.965,0.890501,1.00318,103.047,2.67104,0.286649,2.92893,0.333458,4.57961,0.379492,2.055,0.05,2.055,0.05,-1304.36
1379.15,0.753017,0.422754,1050.22,101.116,0.337359,1.57856, 181.239, 117.725,1.05884,1.01183,118.691,2.65109,0.286487,2.87403,0.328977,4.72358,0.405637,2.055,0.05,2.055,0.05,-1277.57
