rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017
2287.58,1090.6,763.414,487.708,637.078,1109.34,951.258,630.814,1362.79,1477.5,1683.49,831.354,815.859,1370.21,1171.39,1223.41,1674.78,1533.61,1056.15,887.949,805.561,1076.48,569.795,1012.41,671.655,349.925,605.929,494.792,538.372,436.617,410.561,660.441,1407.78,683.723,1951.41,537.039,1506.87,899.151,2049.72,1298.2,1769.82,808.052,1460.85,1871.66,2088.7,979.963,1234.53,1595.68,2024.28,2034.23,1502.77,1404.6,1352.25,2400.48,599.384,2216.36,356.472,2102.88,1556.44,851.392,1758.55,1997.88,1712.18,1835.49,2185.21
1624.13,1270.61,735.238,458.186,674.782,1165.98,1216.79,495.295,1590.99,1471.24,1871.05,1423.05,583.555,1266.35,705.709,340.749,923.249,888.326,837.405,792.638,915.418,1134.19,689.446,1178.88,983.897,481.482,732.276,552.268,561.969,448.848,475.269,887.558,1444.94,947.676,2320.07,763.153,1765.8,935.777,2097.54,1515.49,1628.24,833.593,1333.9,1687.72,1786.56,659.682,1126.89,1532.28,1766.27,1927.47,1281.56,1496.95,1361.66,2374.84,677.553,2257.99,436.347,2384.38,1169.94,701.554,1296.11,1366.11,1241.95,1787.21,2492.92
1556.88,1421.82,703.532,427.816,822.607,1294.59,1306.34,633.479,1358.83,2037.64,2218.85,1130.2,853.893,830.323,807.499,547.456,1102.77,1244.38,900.726,798.623,1007.82,1201.54,693.228,1197.48,945.673,573.101,909.922,724.407,766.298,635.541,515.054,922.711,1640.99,846.638,1940.43,556.081,1559.01,866.697,2019.66,1510.49,1933.67,877.876,1661.95,2379.38,2317.83,935.996,1407.05,1548.15,1974.18,2066.62,1266.36,1504.39,1615.78,2530.87,759.182,2723.57,633.833,2703.7,1630.46,728.174,1261.21,1075.98,1079.95,1087.23,1084.19
2669.16,1613.96,779.607,511.619,935.433,1687.16,1796.08,787.847,2321.52,2016.97,2607.94,1427.29,971.426,1571.42,1187.94,328.135,1364.85,1489.66,851.993,890.089,1006.09,1181.8,742.796,1192.88,1049.52,556.125,698.257,773.284,710.162,573.868,499.156,942.377,1655.41,924.811,2275.5,619.45,2023.74,873.142,2186.45,1605.2,2368.63,799.557,1600.5,2420.82,2027.29,836.654,1318.48,1589.81,2162.14,2120.54,1427.54,1357.76,1482.14,2125.98,637.108,1962.8,340.531,1931.37,1020.17,571.642,1020.94,1048.45,1241.57,1760.08,2195.25
2435.06,1734.6,999.37,745.254,732.917,1686.03,1511.12,727.407,2610.95,1587.31,2485.13,1123.56,1013.92,997.729,721.802,801.058,1348.63,1441.61,1243.51,1085.56,1057.57,1368.05,698.942,1222.87,951.726,606.254,877.494,864.686,881.656,805.361,670.936,1093.98,1849.09,855.011,2042.35,664.795,1694.64,928.144,2442.16,1956.33,2455.28,1044.5,2023.06,2640.91,2201.26,907.131,1329.86,1451.94,1670.12,2020.03,1333.9,1636.23,1660.44,3032.75,720.775,2400.94,378.127,1753.52,1058.63,452.27,967.657,878.477,1147.74,1306.62,1698.98
1835.76,1367.11,763.505,672.76,683.642,1618.57,1138.97,584.435,1903.31,1227.7,2044.96,908.361,515.408,820.134,379.093,308.006,904.086,989.429,774.165,837.072,1005.79,1216.34,788.789,1191.76,970.328,541.391,873.411,819.659,797.686,814.727,509.048,966.347,1759.55,909.337,2211.04,646.782,1519.85,956.827,2239.37,1485.37,2073.39,1004.95,1727.38,2231.88,2241.37,853.005,1389.88,1601.16,1674.68,1826.75,1053.6,1257.88,1100.77,1963.4,494.03,1647.87,359.072,1962,1052.93,633.676,1084.69,1174.68,1186.44,1931.08,2926.25
1876.78,1948.29,645.497,623.775,509.457,1337.58,1274.3,455.284,1184.74,1267.23,1667.75,925.249,868.165,747.994,878.576,360.252,1090.62,1128.89,648.748,627.986,703.933,856.377,543.863,1021.15,814.082,531.942,820.313,781.463,782.237,800.35,538.368,1008.91,1713,779.426,1655.53,497.421,1088.93,842.054,2072.3,1634.85,2362.66,1117.84,2055.39,2791.14,2823.05,1024.41,1345.93,1361.47,1667.48,1917.07,1028.05,1281.7,1190.55,2454.27,704.997,1856.38,317.351,2043.61,1020.95,586.752,1096.7,1090.47,1377.74,1569.1,2551.19
2024.09,1309.13,605.088,406.141,719.348,903.542,1066.55,485.42,1430.4,1272.22,1892.52,1341.15,943.818,820.601,1595.09,392.061,1208.6,874.548,923.014,723.535,890.831,1134.85,806.734,1162.24,882.052,483.383,974.846,610.017,642.428,612.613,365,777.678,1409.91,777.437,1964.13,554.881,1632.8,979.196,2442.79,1950.84,2461.84,922.921,1849.69,2853.22,2609.17,1179.1,1449.02,1870.18,2267.38,2458.21,1389.14,1542.63,1274.21,1962.88,636.492,1838.66,282.326,1600.37,1064.21,501.839,1038.89,1088.08,1243.82,1412.31,1628.77
1658.92,1552.65,907.689,602.249,604.523,1187.73,1036.99,529.738,1518.46,1260.36,1976.68,1103.64,769.476,897.732,625.517,431.914,772.487,756.874,615.255,633.57,668.634,1007.3,747.421,1150.05,856.515,479.935,895.359,589.578,715.05,533.042,402.132,717.976,1362.59,708.339,1707.7,484.591,1516.67,766.257,1881.78,1362.68,2051.03,872.542,1580.02,2295.79,2289.11,1047.56,1707.94,2275.32,2629.32,2750.1,1707.84,1720.68,1528.64,2482.38,611.116,2297.96,329.654,1906.37,1242.22,671.083,1168.63,1315.04,1278.78,1495.62,1699.61
1479.34,1387.77,589.908,572.665,565.042,1190.66,1141.41,634.024,1376.97,1355.62,1705.44,980.746,533.492,717.284,670.991,459.94,1033.84,855.137,903.244,690.203,825.118,1017.02,642.966,988.39,696.32,366.1,740.141,561.032,623.382,586.373,428.332,814.982,1501.49,671.574,1507.45,465.376,1217.13,725.735,1880.95,1591.64,2132.97,1246.82,2191,3180.77,2868.05,1243,1591.12,1611.91,2330.13,1842.03,1437.09,1458.24,1209.67,2582.05,566.594,2201.91,367.223,2211.56,1336.94,672.956,1252.66,1244.94,1157.29,1429.04,1667.44
2368.45,1662.52,834.452,583.658,581.817,1540.86,1267.62,802.382,1622.31,1547.23,2112.34,988.433,583.575,1465.6,737.434,336.111,1233.86,1055.07,755.553,759.958,743.762,1023.26,626.565,1114.33,861.25,484.386,912.123,663.249,780.292,695.471,550.558,914.562,1687.67,810.764,1678.17,538.233,1202.67,711.616,1591.97,1273.82,1671.52,852.205,1910.39,2367.57,2664.66,1230.35,1687.8,1873.21,2487.54,2677.81,1660.17,1517.53,1328.26,2397.6,544.05,2098.89,326.852,2024.69,1194.85,736.395,1297.01,1457.64,1412.53,1648.39,2523.62
2634.47,2148.99,1052.17,647.336,1096.92,1186.73,1523.11,736.574,1174.02,1479.24,2362.69,1270.82,667.822,607.465,1412.39,378.404,1434.52,1376.94,920.013,856.48,885.874,1026.56,572.019,972.944,761.04,335.987,664.504,534.974,571.934,514.669,347.86,786.071,1339.54,743.178,1716.17,534.523,1457.95,818.475,1961.76,1309.43,1982.14,790.256,1784.45,2367.4,2425.39,1109.11,1618.22,1878.78,2371.34,2581.75,1485.71,1662.49,1584.91,2858.79,586.716,2301.34,369.188,2094.68,1324.48,729.684,1068.11,1175.9,1201.96,1207.84,1917.6
2321.35,1343.51,782.215,599.133,791.344,1007.21,1021.82,570.173,1466.56,1093.95,2067.88,784.435,506.138,502.464,1443.42,277.929,1105.97,1098.93,788.718,628.023,709.975,803.889,504.195,833.384,572.104,297.302,547.676,364.713,389.582,348.396,299.123,577.404,1179.36,723.33,1758.3,559.875,1676.35,965.71,2448.75,1827.68,2296.94,827.245,1699.95,1995.78,1841.49,711.893,1021.47,1258.06,1338.24,1474.19,1060.61,1314.63,1252.2,2826.37,766.723,2753.05,517.194,3032.55,1634.92,842.837,1268.08,1297.38,1189.01,1308.29,1623.85
