"M_1951","M_1952","M_1953","M_1954","M_1955","M_1956","M_1957","M_1958","M_1959","M_1960","M_1961","M_1962","M_1963","M_1964","M_1965","M_1966","M_1967","M_1968","M_1969","M_1970","M_1971","M_1972","M_1973","M_1974","M_1975","M_1976","M_1977","M_1978","M_1979","M_1980","M_1981","M_1982","M_1983","M_1984","M_1985","M_1986","M_1987","M_1988","M_1989","M_1990","M_1991","M_1992","M_1993","M_1994","M_1995","M_1996","M_1997","M_1998","M_1999","M_2000","M_2001","M_2002","M_2003","M_2004","M_2005","M_2006","M_2007","M_2008","M_2009","M_2010","M_2011","M_2012","M_2013","M_2014","M_2015","M_2016","M_2017"
0.30105,0.326557,0.349591,0.36231,0.360394,0.34477,0.321242,0.298402,0.284809,0.285582,0.304008,0.343141,0.405379,0.489016,0.582888,0.668342,0.724581,0.73713,0.705074,0.641496,0.565921,0.493257,0.431761,0.384864,0.353391,0.337303,0.33672,0.352012,0.383807,0.432351,0.495799,0.567243,0.632662,0.676429,0.687723,0.665311,0.618185,0.561749,0.511415,0.47567,0.457606,0.457664,0.474837,0.506316,0.546777,0.590726,0.633432,0.671713,0.70493,0.735824,0.770035,0.812035,0.863646,0.923246,0.984453,1.03466,1.05655,1.03829,0.979011,0.888931,0.785222,0.686207,0.605863,0.548939,0.514397,0.498547,0.495878
0.670196,0.609887,0.557618,0.516379,0.487295,0.470539,0.465918,0.473156,0.491949,0.521886,0.562069,0.610504,0.663288,0.713779,0.752768,0.771672,0.765104,0.732428,0.677971,0.609681,0.536698,0.466656,0.404827,0.3543,0.316653,0.292853,0.283896,0.290473,0.313526,0.354193,0.412454,0.483995,0.556946,0.615714,0.646784,0.644624,0.61448,0.570142,0.527565,0.496608,0.48161,0.483836,0.502652,0.535214,0.57584,0.618632,0.658576,0.692401,0.719558,0.742945,0.768263,0.800011,0.840201,0.887849,0.938057,0.980885,1.00251,0.993382,0.952348,0.886811,0.810111,0.737683,0.68291,0.651971,0.646128,0.663962,0.701234
0.604959,0.567645,0.527363,0.478706,0.423179,0.366751,0.316831,0.280179,0.261983,0.264715,0.291052,0.345491,0.432855,0.551348,0.681076,0.786556,0.831511,0.800231,0.708175,0.591257,0.483355,0.399714,0.342456,0.308643,0.294556,0.297059,0.313626,0.342747,0.383149,0.4327,0.487267,0.539755,0.580473,0.601085,0.597937,0.573475,0.535389,0.494147,0.459729,0.437689,0.430175,0.437506,0.458634,0.490473,0.527248,0.563092,0.593424,0.615992,0.631766,0.645361,0.664069,0.693636,0.737243,0.795073,0.86295,0.930072,0.979056,0.995464,0.974155,0.921217,0.851656,0.784625,0.737811,0.720524,0.736593,0.787148,0.869817
0.699818,0.681936,0.657343,0.617124,0.560694,0.494415,0.428256,0.372217,0.333561,0.314433,0.314772,0.334332,0.372502,0.425949,0.485502,0.538518,0.57222,0.578183,0.556027,0.513632,0.463015,0.413701,0.371409,0.338982,0.317617,0.307922,0.310546,0.326078,0.354964,0.396886,0.449274,0.504966,0.551165,0.575266,0.57054,0.539215,0.491458,0.441178,0.400835,0.376575,0.370481,0.383175,0.414591,0.462914,0.522783,0.587077,0.648029,0.698797,0.73562,0.759541,0.77598,0.790153,0.805468,0.823244,0.842505,0.859714,0.869324,0.867014,0.850944,0.821983,0.78345,0.740441,0.698482,0.661084,0.629659,0.604056,0.582921
0.706887,0.617065,0.538788,0.471627,0.41594,0.372422,0.34206,0.326504,0.328366,0.350224,0.395092,0.465877,0.562254,0.673847,0.773874,0.82966,0.819676,0.746513,0.635299,0.518928,0.421875,0.352004,0.307958,0.285923,0.282492,0.295052,0.321184,0.358999,0.40633,0.459739,0.513844,0.561204,0.59344,0.604537,0.593181,0.563245,0.522501,0.480388,0.445453,0.422342,0.4128,0.417058,0.434325,0.462365,0.497038,0.53423,0.570691,0.604655,0.636573,0.669765,0.710045,0.76205,0.827755,0.90526,0.986676,1.05566,1.0891,1.07093,1.00062,0.893204,0.772434,0.661846,0.577706,0.52428,0.499549,0.499346,0.517708
0.746073,0.660853,0.581862,0.505649,0.433838,0.370342,0.319328,0.284446,0.268788,0.274066,0.30278,0.359269,0.448057,0.567373,0.698786,0.809156,0.863131,0.842343,0.757092,0.639447,0.523267,0.426862,0.355342,0.307407,0.280009,0.270687,0.278451,0.303818,0.348376,0.413451,0.497162,0.589405,0.668401,0.710078,0.700755,0.645013,0.562956,0.479569,0.413917,0.372811,0.356659,0.364531,0.395649,0.447931,0.515135,0.588572,0.658394,0.715973,0.757234,0.785167,0.808929,0.836537,0.872463,0.917092,0.965719,1.00713,1.02496,1.00823,0.95643,0.879361,0.793314,0.71614,0.662639,0.639379,0.648206,0.688987,0.758782
0.948956,0.780523,0.644705,0.539381,0.461098,0.406386,0.372645,0.358845,0.365879,0.395757,0.451587,0.536484,0.649939,0.780559,0.899432,0.970451,0.967857,0.890937,0.764584,0.62498,0.501449,0.405829,0.338522,0.295714,0.273303,0.268469,0.280047,0.308487,0.355261,0.421558,0.505728,0.599143,0.683302,0.736879,0.745568,0.709351,0.642489,0.566528,0.500797,0.454472,0.429841,0.426425,0.442713,0.475756,0.520079,0.569787,0.61932,0.664269,0.702643,0.736016,0.76921,0.80611,0.848088,0.893327,0.935937,0.96519,0.967665,0.936871,0.876781,0.799993,0.723282,0.663613,0.635552,0.64778,0.707774,0.824975,1.00854
0.501483,0.432373,0.374791,0.330009,0.298042,0.278604,0.27185,0.279067,0.303224,0.348636,0.420877,0.525376,0.662852,0.820041,0.961111,1.04075,1.02851,0.927996,0.774614,0.613884,0.478509,0.378528,0.311257,0.270498,0.250755,0.248429,0.261793,0.290951,0.337097,0.401244,0.482051,0.572525,0.657651,0.719424,0.744193,0.728872,0.682448,0.621958,0.565049,0.521885,0.496404,0.489276,0.499452,0.524198,0.558708,0.598138,0.638121,0.675101,0.706963,0.733679,0.757223,0.779554,0.801906,0.824637,0.847087,0.867439,0.882923,0.891095,0.89033,0.879999,0.860519,0.833292,0.800392,0.763857,0.725471,0.686719,0.648783
0.799562,0.703901,0.623399,0.56106,0.516942,0.489859,0.478312,0.480821,0.495946,0.522411,0.558713,0.602498,0.649872,0.69477,0.729184,0.745781,0.739932,0.71096,0.662328,0.600639,0.533732,0.468492,0.409991,0.361488,0.324889,0.30151,0.292621,0.299022,0.321569,0.361103,0.417072,0.48448,0.550995,0.601351,0.623341,0.61328,0.577905,0.531441,0.489237,0.46017,0.447756,0.45269,0.473839,0.507559,0.546832,0.58449,0.61499,0.63578,0.648392,0.658832,0.676203,0.707407,0.755999,0.821576,0.897651,0.968287,1.00883,1.00169,0.946149,0.858521,0.764518,0.690533,0.658322,0.681105,0.773207,0.957599,1.26502
0.557277,0.550074,0.541074,0.52796,0.510574,0.490696,0.471657,0.457976,0.454666,0.465083,0.491066,0.533009,0.588788,0.651462,0.707787,0.743308,0.747346,0.716902,0.657878,0.582644,0.504935,0.434364,0.376007,0.331832,0.302275,0.287577,0.288601,0.306608,0.343464,0.401039,0.478865,0.569377,0.653606,0.708431,0.717557,0.68027,0.611836,0.535498,0.471677,0.429503,0.411002,0.415775,0.44263,0.488514,0.546458,0.608107,0.665274,0.711919,0.746518,0.773672,0.803025,0.842518,0.896334,0.964052,1.03875,1.10427,1.13678,1.12028,1.05525,0.958034,0.853766,0.768173,0.721995,0.726001,0.788639,0.92131,1.13607
0.670481,0.548956,0.452516,0.380251,0.329225,0.296347,0.279348,0.277288,0.290735,0.321246,0.370928,0.441086,0.52912,0.623349,0.699928,0.733484,0.710884,0.639016,0.54069,0.44229,0.362274,0.305989,0.271934,0.257067,0.258927,0.275779,0.305946,0.348046,0.400178,0.458913,0.518581,0.571182,0.607641,0.621322,0.610621,0.579568,0.536433,0.491257,0.453061,0.426727,0.414058,0.415281,0.42966,0.455224,0.488363,0.525392,0.563076,0.598997,0.632121,0.663361,0.69543,0.730588,0.769766,0.812188,0.854876,0.892128,0.916092,0.920629,0.903307,0.865939,0.814071,0.755625,0.698661,0.648024,0.605488,0.570707,0.541868
0.85289,0.673214,0.532601,0.424823,0.344371,0.286552,0.247726,0.225656,0.219695,0.230173,0.258866,0.308859,0.382781,0.478016,0.580033,0.664441,0.705753,0.69018,0.623775,0.528706,0.430246,0.344346,0.277257,0.229396,0.198923,0.184132,0.18473,0.201999,0.2394,0.302367,0.395703,0.515862,0.639906,0.730547,0.7554,0.708367,0.61371,0.509182,0.42439,0.369267,0.34349,0.344671,0.370973,0.41963,0.483564,0.553138,0.617613,0.668028,0.70104,0.721466,0.740776,0.768763,0.811277,0.869867,0.940328,1.00991,1.05724,1.06415,1.02389,0.943667,0.841436,0.738925,0.653948,0.593445,0.557201,0.541634,0.540879
