"SB_ 1951","SB_ 1952","SB_ 1953","SB_ 1954","SB_ 1955","SB_ 1956","SB_ 1957","SB_ 1958","SB_ 1959","SB_ 1960","SB_ 1961","SB_ 1962","SB_ 1963","SB_ 1964","SB_ 1965","SB_ 1966","SB_ 1967","SB_ 1968","SB_ 1969","SB_ 1970","SB_ 1971","SB_ 1972","SB_ 1973","SB_ 1974","SB_ 1975","SB_ 1976","SB_ 1977","SB_ 1978","SB_ 1979","SB_ 1980","SB_ 1981","SB_ 1982","SB_ 1983","SB_ 1984","SB_ 1985","SB_ 1986","SB_ 1987","SB_ 1988","SB_ 1989","SB_ 1990","SB_ 1991","SB_ 1992","SB_ 1993","SB_ 1994","SB_ 1995","SB_ 1996","SB_ 1997","SB_ 1998","SB_ 1999","SB_ 2000","SB_ 2001","SB_ 2002","SB_ 2003","SB_ 2004","SB_ 2005","SB_ 2006","SB_ 2007","SB_ 2008","SB_ 2009","SB_ 2010","SB_ 2011","SB_ 2012","SB_ 2013","SB_ 2014","SB_ 2015","SB_ 2016","SB_ 2017"
23.5247,12.9913,24.756,14.898,21.0274,22.9047,35.7121,51.5839,24.4613,12.1391,13.6543,19.8147,21.4772,19.5871,12.3289,5.78119,2.91869,7.94883,13.4244,29.4465,48.1959,61.93,67.0053,80.7733,102.532,79.7856,62.282,45.443,38.0404,41.2927,38.5137,29.0602,24.3013,34.325,54.306,59.6677,54.629,65.092,47.9356,38.9353,33.0511,40.3509,37.406,31.815,29.2578,34.0993,37.6325,25.7577,17.3556,15.8576,18.5919,20.3408,17.1196,9.48923,5.26056,4.96488,4.26292,3.9573,4.0842,4.88951,5.90164,5.70632,7.24835,11.3104,18.5155,28.8502,30.4942
36.8562,23.9444,30.21,17.7192,23.8144,27.6538,41.7373,51.0527,27.1664,13.709,18.0398,23.2079,21.9314,17.4173,10.4074,4.49631,4.06207,10.0937,14.4671,28.2616,45.4203,57.815,62.7713,71.8457,86.4381,65.878,52.1522,39.2501,33.6439,39.7075,38.37,31.6286,25.9944,31.249,47.9252,54.1803,54.0919,68.5525,51.7606,41.3722,38.2547,51.3037,49.3465,40.19,34.1123,38.093,42.1638,26.6525,17.6168,16.9318,18.5968,18.6242,15.3397,8.27213,3.96727,4.11527,3.85035,4.076,4.32687,4.94506,6.13406,6.11269,7.53822,10.6617,16.4933,22.8868,21.453
22.1596,12.1932,19.2176,11.4679,16.1142,15.6905,28.9821,45.359,20.8274,11.2135,16.4927,19.9288,23.1674,25.2144,14.1028,7.72414,6.33295,8.89102,12.4508,23.7451,40.7885,54.5742,62.1954,75.2393,92.3261,69.0071,56.0225,40.6834,32.3991,34.5589,31.3714,23.91,17.6902,20.2037,33.0929,39.3643,40.0696,53.115,42.1276,35.5673,29.4762,38.4004,36.9458,29.7264,25.8552,29.6122,33.5598,22.0878,14.72,13.8322,15.9433,16.8899,13.4046,8.65129,5.45019,6.46858,6.2466,5.24087,5.18268,6.98581,8.40774,7.8605,9.7465,12.8636,17.5296,20.3917,14.6561
36.7355,21.6141,30.3096,21.1916,24.5692,25.2908,40.8063,50.1383,25.9364,12.2743,15.0468,18.7662,21.0799,20.0922,12.8076,6.93623,4.70513,7.86928,11.5317,23.2804,43.1384,59.5407,64.4015,72.4787,89.4989,68.1158,52.994,39.4221,30.831,33.5181,30.9488,23.3726,16.686,19.0725,31.0854,37.8852,36.8819,50.1289,40.7439,35.1812,30.8968,39.664,40.9574,36.264,33.0604,38.6847,44.1132,28.5175,19.2777,17.2965,17.5505,16.3783,12.934,7.82785,3.89577,4.72343,4.92794,4.66915,5.04529,6.51276,7.48766,6.81238,8.36945,11.4798,16.3492,23.0424,22.7216
24.2964,12.9449,22.6502,15.554,19.789,22.8144,34.9877,49.6455,31.2519,16.0914,18.5567,26.1554,26.2785,20.0937,10.6772,3.13732,3.25071,7.59523,8.92302,19.194,37.123,51.9657,61.3768,74.6548,94.7327,74.554,61.2848,44.8527,35.525,37.078,32.7845,24.6494,18.977,22.4648,37.8207,46.6764,43.2008,52.4091,39.4341,31.4804,26.6366,35.2168,33.069,26.3108,23.326,30.3616,38.8405,28.1181,20.7772,20.0387,21.5761,21.7491,17.3054,9.03377,4.49925,4.9857,4.75453,4.20067,4.0452,4.41319,5.02497,5.19066,7.83088,13.5721,23.0774,34.4838,33.7389
30.0654,11.4845,19.0615,11.6508,16.9275,20.306,35.7773,48.9689,25.5554,12.8359,19.9849,29.5176,26.9482,22.1728,12.8861,8.51769,7.92122,9.02233,9.90713,22.8328,43.8586,56.6299,62.551,72.907,90.1475,68.251,56.447,43.7371,37.9778,42.2596,38.6972,29.2676,21.6061,25.0656,38.8996,44.4531,41.1684,50.1103,38.3818,33.9305,30.0958,40.1038,40.9374,34.5543,31.0522,39.522,47.5182,31.8973,20.5813,17.9346,19.9243,20.2542,16.7938,8.92953,4.56418,4.80136,4.35423,4.19146,4.49867,5.31637,6.10266,5.89832,7.85251,11.42,17.0072,22.1582,16.8044
31.1891,18.2177,24.4221,15.2777,20.9255,25.7426,41.7383,53.8564,27.1516,13.539,24.1965,39.6981,39.3804,34.2096,18.8258,8.11246,7.30839,12.8075,12.6405,23.6557,39.8305,55.2643,61.4009,74.2759,94.3399,75.1572,65.6717,52.3522,49.0514,56.1784,52.7426,40.4525,31.7395,37.7145,53.9957,57.3286,50.7854,57.1155,42.861,36.7058,33.4792,45.4936,46.22,40.4063,36.2703,41.4608,47.4878,31.4837,20.6318,17.8359,19.0271,18.899,14.4569,8.22871,3.78845,3.79231,3.74239,4.00667,4.55686,5.81791,7.30461,7.21268,9.57469,13.9449,17.1528,17.7934,10.9845
19.2374,6.76836,16.6502,10.8193,17.993,24.5654,42.9703,57.5797,31.1728,15.6705,22.5544,35.308,37.3,33.0458,17.7146,6.97798,5.08866,6.79008,7.64977,17.5024,35.3812,50.901,60.378,70.4011,88.2765,71.143,61.273,50.0814,48.0586,55.9369,53.0011,41.199,33.0575,41.4115,60.6424,64.814,61.1037,71.4422,52.7701,42.5828,37.467,50.2985,49.2502,39.8987,34.0991,36.1092,37.843,23.9197,15.4779,13.578,15.3662,16.1671,13.3537,6.98634,3.39005,3.87838,4.34211,5.15639,6.05313,7.43037,8.32025,7.27366,8.34393,10.9315,13.9388,17.2841,15.3481
28.1797,12.252,20.4662,11.8599,19.8091,30.8239,53.6204,62.6779,34.3713,14.4211,23.4554,36.3637,32.6266,29.1114,19.6549,12.7673,13.6516,12.4631,14.8401,28.4148,46.7419,62.7058,65.9371,69.4381,88.2236,69.695,53.9588,37.0928,29.6274,34.9373,34.0209,27.0616,21.4016,28.2877,47.9262,54.8469,50.8654,60.4043,44.8187,37.4549,32.928,43.316,41.5196,34.1173,29.8552,32.5762,34.2008,21.9449,14.7172,13.9441,16.2211,18.0012,16.1316,9.55356,5.23607,5.88186,5.91078,5.63323,5.79148,6.47602,7.37129,7.54759,10.3735,14.3661,18.1891,17.7661,8.45051
29.5914,16.6358,24.9544,19.0229,28.6656,38.1629,64.3906,70.0869,33.546,15.5756,20.2499,25.3563,25.8716,27.3487,15.2595,8.19482,8.3297,11.5968,13.5139,24.8042,43.5804,62.3864,70.7274,80.7758,98.4194,72.9965,60.1139,45.8031,40.8542,48.9279,48.0923,37.2907,29.0689,34.6765,50.9421,55.4567,50.3925,60.0296,45.1595,39.2762,35.2141,46.6395,47.9033,41.2982,37.0382,43.3326,48.4322,31.9899,21.3812,18.4696,20.0958,20.8227,17.4008,9.39059,4.95626,5.2844,4.74922,4.27777,4.23001,4.72225,5.28021,5.10076,7.17674,10.6874,14.726,15.4068,8.69503
25.0413,9.30465,18.0319,11.0229,18.391,22.5572,41.3677,58.6959,34.6594,13.2768,18.1831,24.6622,22.9712,20.4964,12.2504,5.03997,3.62668,7.29193,8.92032,19.1107,35.5719,52.4566,62.4286,73.9174,97.2246,81.0084,66.2215,49.0956,39.8609,41.9913,36.192,26.4351,18.6895,21.999,35.3434,42.4297,41.1366,52.6436,40.1126,33.0803,28.5729,36.2312,35.395,31.0755,28.745,33.1511,36.5404,25.2486,17.5474,15.9451,17.4016,18.2066,15.7264,9.47557,5.10483,5.28167,5.29868,5.39269,5.68044,6.38109,7.2033,6.72318,8.43289,12.0824,16.7835,23.0804,24.3108
27.8349,12.5564,22.5195,15.2139,20.3217,20.6779,34.645,53.7563,23.9908,11.874,15.1342,23.6972,21.854,18.1519,10.5085,5.36632,5.25852,8.20425,11.3335,20.1318,33.4517,48.149,54.0438,63.6104,80.2949,59.8356,47.7138,38.482,34.9607,43.4564,43.9757,35.0791,26.8032,32.2134,46.3029,48.6579,42.8224,53.0003,40.8219,34.3274,29.5288,39.4966,41.0048,35.5142,32.2742,38.1719,43.1962,27.8706,19.3971,17.4485,19.2462,21.02,17.8293,9.43961,4.85371,5.06789,4.72863,4.47299,4.35288,4.62207,5.35925,5.32177,7.10592,10.7512,15.8094,22.3437,21.8434
