"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
1154.63,582.603,1458.47,759.447,1795.14,1674.89,1784.19,1621.01,1269.64,1258.42,1673.71,532.273,1187.58,693.369,550.867,397.513,547.798,851.956,1603.87,2548.74,2756.65,2444.38,3409.24,5081.28,1699.19,1375.84,1922.72,605.891,1262.38,820.874,434.269,418.556,678.875,1268.7,1485.59,571.341,2386.91,649.359,570.639,360.723,873.941,506.405,350.911,193.242,232.599,931.384,258.968,147.181,99.857,167.703,284.223,224.762,103.006,130.934,103.159,152.161,66.8693,198.682,149.707,326.645,116.447,157.38,403.789,433.767,1366.22,179.568,377.246,509.182
833.348,509.583,1335.3,432.357,1007.28,1648.34,1034.42,1179.24,1189.5,725.003,1538.29,664.646,960.371,559.715,234.39,701.772,275.139,525.772,1673.34,2653.68,2191.62,2539.98,3258.09,3926.44,2103.11,1215.41,1776.93,463.156,1479.13,661.134,496.68,358.019,653.106,1211.2,1723.06,582.057,2018.5,543.974,503.459,314.66,865.007,443.869,403.218,173.72,218.084,941.328,259.446,135.91,110.282,135.216,226.678,269.96,81.4869,118.604,96.0269,118.864,70.4241,177.156,138.893,446.321,120.849,185.393,587.3,369.507,860.371,259.618,624.144,533.17
754.957,496.431,2031.93,985.338,1135.38,1522.24,1971.7,1466.59,1136.25,1023.24,1700.74,1003.19,908.501,586.714,347.132,333.011,1121.07,635.892,2335.35,3889.97,3563.41,3650.48,3911.87,5304.93,2385.7,1528.85,2490.25,696.258,1567.88,947.07,602.756,464.538,744.891,1755.38,2037.57,742.444,3113.32,821.726,627.86,533.246,1090.35,651.824,455.933,205.119,278.133,1204.41,308.948,143.673,114.774,201.867,225.342,287.915,105.491,121.419,80.4305,141.12,62.3492,188.516,136.736,394.56,103.814,133.714,530.928,355.845,1221.79,340.457,342.505,559.804
742.648,454.113,1681.27,716.535,1689.07,1551.46,1128.11,2019.23,984.968,666.847,1647.52,922.891,833.464,662.359,342.159,162.228,466.809,475.332,1489.25,2652.52,2499.03,2625.97,3375.59,4600.92,2039.73,1399.55,1962.14,515.255,1570.49,816.935,439.759,364.916,569.287,1479.23,1555.22,706.672,2687.82,813.022,728.854,462.305,1001.05,463.5,453.535,199.27,180.169,909.064,256.396,113.507,89.4842,180.444,249.943,225.435,86.9789,122.363,50.2922,122.329,53.7043,148.388,119.548,374.892,161.172,209.449,733.359,506.312,1563.6,486.774,301.575,523.356
1112.25,600.308,1682.85,740.411,1558.39,1179.74,1070.91,2241.63,989.637,896.999,1493.49,802.092,870.871,582.574,305.951,205.585,852.728,955.215,1890.37,3223.54,2661.54,3071.57,3580.51,4692.76,1739.76,1371.54,2186.01,611.806,1588.04,822.241,536.11,434.133,679.478,1479.55,1739.8,724.146,2877.63,671.451,722.146,582.017,1272.69,523.252,429.263,253.976,257.496,849.763,294.207,116.535,103.9,193.167,236.967,240.794,98.377,107.779,59.1319,125.928,50.93,150.661,111.292,415.657,144.562,186.984,527.933,364.567,1429.64,431.288,758.679,621.601
845.189,362.035,1708.81,676.702,1064.42,2163.62,1210.46,1278.75,1066.56,738.419,1581.27,869.135,854.398,528.147,296.716,410.285,416.408,573.827,1649.97,2580.34,2042.3,2884.7,2872.13,4589.74,1984.73,1354.85,1899.21,623.845,1376.29,661.948,447.813,413.288,554.447,1366.29,1470.93,618.471,2665.99,579.541,553.101,356.99,839.35,478,472.759,187.884,275.726,760.608,239.02,106.669,102.691,181.172,206.644,226.862,96.1894,104.915,66.7184,154.297,56.056,160.787,126.739,460.893,145.053,192.264,589.27,418.714,1511.06,348.41,430.877,458.345
962.409,692.546,1569.48,839.019,1281.23,1851.82,1040.96,1922.17,1172.76,797.033,1844.86,778.006,757.334,434.525,353.952,960.932,507.577,470.875,1441.61,2937.22,2371.75,2594.63,2923.1,4834.14,1792.57,1577.14,2195.77,673.027,1709.21,736.916,556.46,520.579,810.343,1666.93,1799.91,658.608,3131.71,621.788,521.693,425.931,1089.85,581.265,413.554,234.475,241.648,1108.37,320.846,129.348,149.146,191.827,231.643,257.348,129.918,116.772,79.4769,140.133,56.8177,172.817,131.418,469.163,113.42,127.857,490.793,290.137,1005.7,308.646,367.929,527.267
732.412,420.86,1785.24,805.984,1201.93,1606.65,1014.29,1979.44,1061.07,1013.73,1539.86,747.932,838.338,508.708,151.37,697.779,509.869,870.898,1383.95,1971.72,2404.43,2295.36,2834.76,4304.91,1740.37,1093.88,1671.39,458.136,1332.38,808.984,489.862,307.468,462.779,1283.43,1721.86,535.731,2454.5,598.877,582.436,375.265,896.255,527.376,481.682,188.854,245.101,881.865,225.838,113.977,91.673,182.631,208.705,239.716,99.4836,112.855,66.4397,124.795,50.2356,138.8,109.232,360.698,126.108,186.935,601.938,448.401,1310.54,390.42,253.399,539.452
583.028,535.897,1650.02,865.532,1158.36,1528,1145.87,1923.59,1337.79,1133.38,1774.07,824.412,1460.91,711.025,373.196,403.99,679.557,787.013,2160.08,3393.71,3024.76,2504.15,3081.02,4842.39,2046.78,1519.91,2355.75,682.943,1298.31,1027.5,575.063,575.144,599.702,1513.11,2151.74,844.774,2923.82,712.779,827.244,484.558,1070.61,535.152,504.726,186.453,228.471,856.729,278.972,132.051,107.564,197.796,240.255,274.886,96.2556,112.229,60.4803,114.357,58.2112,153.561,138.139,387.287,154.916,139.348,519.148,375.918,1483.55,291.974,372.682,728.873
719.747,296.846,1329.37,476.127,964.761,1130.11,1102.03,2056.51,975.872,786.572,1201.13,683.053,925.736,338.013,403.495,459.239,483.808,516.866,1478.82,2370.13,2330.04,2226.93,2768.25,3726.74,1393,1150.73,1587.14,492.732,943.137,710.722,369.393,372.547,336.37,1553.37,1290.45,515.819,2155.37,610.417,524.341,381.328,836.783,352.848,316.821,145.76,193.419,731.611,228.843,110.458,95.1384,153.3,255.864,200.289,77.7294,116.375,45.4743,106.601,59.9785,179.665,181.791,385.54,138.272,161.058,564.779,439.215,1783.15,477.88,514.83,431.816
690.059,496.957,1749.73,567.916,1019.75,1489.83,1128.48,1714.54,1148.65,513.703,1626.36,630.39,1083.83,572.216,335.605,665.871,360.12,425.902,1391.07,2629.85,2110.15,2317.91,2478.66,3969.34,1574.79,1393.54,1828.66,537.437,1398.53,656.383,447.949,405.226,478.54,1149.91,1829.37,561.205,2260.42,619.8,567.472,397.591,771.763,489.592,395.27,158.955,237.304,785.999,240.463,116.59,78.9738,162.182,243.172,223.375,97.8452,104.99,68.5259,135.039,58.9867,163.326,120.915,438.391,122.621,208.13,619.968,516.564,1616.63,574.993,733.276,941.745
597.548,649.984,2161.86,1156.09,1161.18,1694.47,748.331,2144.9,1109.36,1021.83,1501.43,1015.14,1049.65,358.817,401.284,683.396,601.634,577.89,1987.49,3175.18,2650.34,3215.59,3398,4685.57,1922.04,1434.13,1811.79,622.473,1451.51,818.74,503.558,466.854,670.849,1579.14,1989.47,720.894,2914.4,694.504,647.884,442.008,1157.87,601.254,508.045,183.214,222.778,902.602,228.383,138.316,93.7448,181.768,246.084,237.561,111.591,109.53,68.6946,113.449,53.9907,143.844,101.628,429.213,144.446,186.765,666.069,468.8,1017.5,429.083,546.284,507.474
1069.42,550.93,1571.42,931.861,1488.68,1693.92,964.272,1947.12,1055.98,849.314,1466.6,954.646,943.723,579.244,256.28,1156.16,325.333,581.63,1579.5,2959.01,2582.49,3122.79,3417.45,4091.26,2327.98,1423.82,2095.85,637.503,1359.47,876.068,491.743,455.983,589.165,1489.92,1897.03,645.801,2791.47,559.937,604.277,419.245,1046.96,569.081,429.069,233.268,239.848,879.032,248.868,135.557,111.683,176.856,224.301,282.78,101.042,98.4753,71.1679,107.549,49.3156,146.472,122.202,410.794,122.682,161.599,611.19,393.423,1429.45,434.114,612.018,617.41
1044.95,741.736,1696.98,924.131,1157.72,1820.72,1412.52,2052.38,931.318,826.617,1891.57,857.941,744.062,494.008,335.991,619.446,794.831,496.839,1691.02,2732.43,1932.83,2695.76,2780.46,4620.38,1446.37,1264.08,2096.57,728.642,1283.93,843.821,469.517,454.096,735.104,1440.8,1687.98,598.384,2328.37,716.638,592.425,349.521,1071.58,588.583,380.047,225.416,220.41,862.028,235.784,110.875,99.2496,172.888,232.334,246.83,72.7468,115.784,69.5275,126.251,58.2415,183.317,156.794,438.808,145.809,141.149,698.704,462.058,2213.38,442.517,596.632,564.055
607.617,389.069,1324.79,720.976,741.777,1522.2,1091.46,1412.03,1047.72,651.602,1362.44,617.972,936.409,429.433,181.473,625.535,342.305,445.546,1161.77,2266.32,1941.22,1998.54,2217.4,3696.6,1258.1,877.002,1165.51,409.167,848.024,547.759,332.835,257.15,389.771,1162.83,1105.84,459.579,1845.66,538.271,516.744,300.885,780.064,402.334,341.436,163.827,193.5,725.038,196.459,92.8447,95.7175,181.322,200.744,216.767,76.0495,91.3556,67.5588,113.74,50.9684,150.813,119.454,403.626,161.48,233.04,839.781,511.797,1928.8,673.24,417.541,413.903
743.774,614.278,1335.3,910.292,1137.66,1385.12,1070.41,1889,990.485,970.549,1664.73,905.136,792.861,414.938,189.709,1018.27,439.974,592.246,1472.75,2503.07,2571.79,2308.97,2774.04,4843.98,1746.36,1185.65,2130.06,598.568,1159.49,1008.19,532.757,435.728,587.596,1213.89,1543.61,661.095,2558.17,608.189,648.52,399.854,923.102,516.077,376.349,191.836,242.662,849.305,286.13,121.187,96.7149,161.239,259.586,244.295,69.991,98.2207,57.632,124.012,50.6567,147.38,138.479,416.654,135.031,195.366,541.307,476.493,1677.17,474.423,493.159,396.209
705.274,419.923,2064.47,1056.54,1371.58,1745.58,2043.04,1596.17,1156.68,876.203,1444.18,734.051,948.614,410.64,400.428,300.253,668.564,580.814,1996.45,3173.27,2798.18,2886.23,3457.03,4651.82,2189.16,1527.45,2153.28,684.626,1204.69,1100,564.511,438.463,777.43,1512.8,1571.97,709.859,3123.54,914.724,802.891,580.703,1146.84,560.662,444.884,187.928,275.665,959.875,321.431,136.606,115.408,157.272,248.823,254.369,95.5133,82.8012,60.7405,135.956,39.442,151.033,86.2963,334.666,136.56,123.241,597.941,488.065,1382.03,346.102,259.631,577.838
547.444,360.966,1316.14,674.96,776.584,1529.33,1001.22,1529.85,1585.94,926.961,1124.53,734.427,868.083,689.281,186.936,844.959,382.884,595.342,1140.13,2004.63,2061.17,2089.26,2561.49,3892.4,1682.13,1102.43,1695.25,508.46,937.602,655.587,321.275,297.088,550.91,957.191,1469.75,501.958,2192.34,574.267,563.362,430.909,846.024,499.304,406.948,173.146,206.56,714.072,203.661,133.115,99.3156,171.653,231.281,228.693,74.201,107.788,50.7991,103.77,65.3356,165.205,152.834,433.221,107.762,161.09,538.946,448.442,1542.64,293.482,405.307,402.064
634.395,635.258,1640.14,758.9,1632.97,1681.81,1332.62,2287.25,1086.52,829.583,1585.59,647.936,628.446,475.226,232.872,363.318,687.366,408.198,1356.28,2392.7,2714.03,2224.54,3489.95,4864.11,1616.46,1246.42,2075.36,570.954,1365.58,791.512,506.013,451.709,560.765,1205.34,1503.2,742.359,2377.77,628.638,635.938,388.883,1037.91,462.029,412.947,207.657,216.047,910.191,256.812,135.906,103.865,159.598,254.889,216.569,79.1085,95.714,60.1858,135.077,54.5811,162.305,139.299,441.96,147.655,200.987,668.525,361.056,1222.71,365.617,299.634,566.559
676.754,466.832,1959.45,1236.83,1398.44,2468.06,1517.03,1866.08,1477.35,646.221,1669.3,1120.48,1039.95,453.46,364.178,298.272,1037.38,467.804,2271.68,3460.91,2574.07,3073.5,4384.85,5526.28,2001.42,1545.95,2497.47,858.035,1765.51,1008.91,643.533,454.189,702.409,1673.74,1939.75,724.397,2497.31,792.957,819.429,485.013,1129.94,583.379,419.045,222.39,281.329,858.794,288.638,122.583,96.1592,248.27,277.162,296.18,108.566,110.492,70.9596,156.593,70.795,168.394,120.159,478.275,106.336,173.783,400.518,421.724,1159.51,342.005,234.786,681.376
533.096,350.18,1991.84,731.736,1345.47,2222.43,1305.59,1453,1326.9,922.954,1421.23,723.983,953.549,523.389,280.927,176.359,931.544,646.69,1619.78,2984.42,2064.24,2943.86,3586.14,5149.84,1575.66,1296.89,2264.56,515.583,1388.51,899.14,560.705,431.621,638.478,1590.25,1531.1,734.177,2581.22,605.811,558.167,378.599,1025.33,525.22,402.181,202.773,262.802,897.736,277.567,150.09,121.958,228.532,310.157,238.918,81.9331,104.159,58.3975,113.779,59.6184,172.595,118.53,459.273,105.677,212.377,633.408,450.557,1438.43,404.553,530.183,631.366
