"SB_ 1951","SB_ 1952","SB_ 1953","SB_ 1954","SB_ 1955","SB_ 1956","SB_ 1957","SB_ 1958","SB_ 1959","SB_ 1960","SB_ 1961","SB_ 1962","SB_ 1963","SB_ 1964","SB_ 1965","SB_ 1966","SB_ 1967","SB_ 1968","SB_ 1969","SB_ 1970","SB_ 1971","SB_ 1972","SB_ 1973","SB_ 1974","SB_ 1975","SB_ 1976","SB_ 1977","SB_ 1978","SB_ 1979","SB_ 1980","SB_ 1981","SB_ 1982","SB_ 1983","SB_ 1984","SB_ 1985","SB_ 1986","SB_ 1987","SB_ 1988","SB_ 1989","SB_ 1990","SB_ 1991","SB_ 1992","SB_ 1993","SB_ 1994","SB_ 1995","SB_ 1996","SB_ 1997","SB_ 1998","SB_ 1999","SB_ 2000","SB_ 2001","SB_ 2002","SB_ 2003","SB_ 2004","SB_ 2005","SB_ 2006","SB_ 2007","SB_ 2008","SB_ 2009","SB_ 2010","SB_ 2011","SB_ 2012","SB_ 2013","SB_ 2014","SB_ 2015","SB_ 2016","SB_ 2017"
22.3625,21.6471,31.2133,28.8194,42.8289,57.4775,76.2683,78.3502,37.8488,22.7784,34.1906,38.2633,31.647,33.5005,32.3956,26.9393,18.4765,29.4104,49.771,86.0811,127.773,164.322,176.92,196.203,218.387,156.04,119.928,85.9787,67.9488,63.9416,54.2917,40.3598,34.5033,44.0706,68.0458,78.0216,80.1104,93.1604,67.8611,50.3913,38.7647,42.9129,34.4651,24.7996,20.7889,25.1712,27.9905,17.0008,10.2944,8.84525,10.9782,12.4178,10.1196,5.53167,2.90533,4.25976,5.05385,5.77182,7.19973,8.57297,9.68731,9.75406,11.9838,17.5811,28.3202,36.3572,30.8403
23.5671,14.1507,24.7743,23.689,27.8105,37.6445,56.4049,55.6512,24.5313,14.1458,21.4596,30.2672,27.1852,25.221,21.7671,16.5995,15.6112,20.2673,38.4039,81.6066,123.774,152.767,169.815,180.658,196.953,145.81,113.418,79.9532,63.7289,63.2036,52.959,39.9715,33.4816,43.2264,69.6964,84.0447,80.4116,86.3466,61.1601,45.2,35.9265,40.7908,34.037,25.1066,20.5409,25.141,28.0852,17.0894,10.4893,8.8094,9.93407,11.5007,10.2794,5.5742,2.80817,3.86019,4.46771,5.24561,6.59012,8.97816,11.4877,11.5173,15.2443,21.8807,25.3145,28.925,29.3364
21.6502,11.678,26.0989,34.4227,41.5321,43.3006,61.6908,66.9105,30.9635,16.9273,26.754,34.2573,31.8677,26.4853,22.9823,16.0508,16.2282,33.7878,53.1554,107.11,163.925,205.727,218.982,219.629,231.948,164.171,127.378,93.592,74.9819,69.7057,58.8003,44.0069,36.2459,49.3576,81.0653,93.0425,96.378,110.438,77.6171,56.5521,45.7238,49.7937,41.0618,28.4027,22.5623,28.4688,32.3408,19.0814,11.5331,9.63122,10.735,11.3413,9.95893,5.4029,2.16489,3.27059,4.01282,4.70933,5.95914,7.71999,9.2826,8.72614,11.5365,17.1927,24.5537,31.6685,27.8842
28.2803,17.4258,28.0085,32.3011,44.071,57.3145,68.4352,68.8668,35.5071,14.9805,22.4583,33.3227,32.4798,27.4597,26.5911,17.3407,7.52555,17.1765,33.9576,74.3687,120.378,156.29,172.894,188.998,211.254,157.574,123.889,87.487,71.1725,69.7402,57.9391,42.3513,33.242,43.6584,71.7816,83.4668,88.7441,106.675,81.2469,63.494,49.5218,51.6871,40.436,29.1624,22.8766,25.2664,26.7705,15.6509,9.16267,7.97327,10.2737,11.4397,9.52415,4.99055,2.02936,2.88116,3.6967,4.28805,5.42472,7.43439,9.90652,11.0382,16.5023,25.76,35.8698,46.2538,40.5164
36.8896,27.9661,35.7215,32.6251,41.8192,49.5439,56.4574,61.5988,35.0438,16.5462,22.877,30.2132,28.7902,24.3288,21.95,14.5709,10.2368,29.3139,53.8034,98.2319,144.482,177.111,191.458,199.886,212.916,148.587,115.643,84.1738,69.972,68.4321,57.4664,43.4607,35.792,46.8363,74.6084,86.7672,91.9824,107.265,76.8999,60.0105,51.6092,57.4288,44.7963,31.803,25.8304,27.019,27.0376,16.1387,9.56856,8.44551,10.4304,11.3703,9.53183,5.00087,1.96722,2.90732,3.66388,4.19155,5.21885,7.35592,9.99369,10.523,13.7532,19.4061,28.5284,38.778,38.9209
36.3947,20.3135,28.7715,29.2914,35.4737,48.4356,72.1307,67.8542,32.0004,14.7405,21.1342,31.4828,30.7476,27.2301,21.1944,15.036,10.4237,19.4602,38.8296,80.5632,119.882,151.13,171.771,182.613,204.729,152.164,117.475,85.6776,69.6419,65.6833,53.649,39.597,32.4356,42.3939,68.5509,79.2684,83.4053,100.506,71.3251,52.7159,40.4483,43.2959,36.5057,27.5481,23.2937,25.4652,25.1461,14.9463,8.8258,8.03196,9.96288,10.8365,9.18622,4.86516,2.08905,3.38636,4.46489,4.96845,6.09158,8.5683,11.5432,11.9382,15.6018,22.5365,32.4229,42.486,37.7932
25.5037,19.0001,30.8443,28.1958,37.0183,48.6441,64.2529,64.0183,31.3609,13.8096,23.6084,35.5188,29.7568,20.7049,15.526,16.6162,23.188,28.237,39.2213,76.9027,122.39,151.094,160.643,173.294,193.608,142.814,115.571,86.7332,73.1822,70.6561,57.7941,44.5783,38.5403,52.7259,82.0167,91.5745,95.7442,112.89,78.3666,55.5152,43.8437,49.5279,40.5895,28.9152,23.4122,28.2166,32.1311,19.5995,12.1126,10.6193,11.6173,12.0677,10.2592,6.17055,2.66321,3.63783,4.29291,4.82733,5.98234,8.38812,10.9094,10.2287,12.3529,17.1906,22.2814,28.4441,26.2988
26.723,15.8241,27.4205,33.3753,41.3044,47.4279,61.5086,63.9663,39.0008,20.4079,27.9953,31.6808,28.1973,24.1271,18.916,12.4355,17.0762,28.5068,47.7541,75.7391,107.16,141.359,153.686,167.99,189.244,138.026,102.873,71.683,56.8191,58.3223,51.6493,39.0433,29.7594,37.8318,66.5415,81.3335,82.9863,96.4168,69.7452,52.5754,40.6804,44.9245,38.8564,29.2928,24.0286,26.7156,27.9348,16.706,9.51787,8.38107,10.1603,11.0899,9.64547,5.47181,2.39622,3.30989,3.98416,4.37808,5.29321,7.14198,9.36581,10.0223,14.4052,22.1387,30.7641,39.2282,34.1728
28.4263,15.849,27.1678,30.1227,38.2794,42.9315,56.3823,60.2224,34.7473,22.4738,29.3413,36.811,35.6451,38.2704,35.2502,24.4197,16.6519,28.9651,51.9977,102.384,152.315,182.401,179.184,184.623,202.873,148.474,119.012,89.1391,71.0407,66.9172,58.8477,46.06,38.3443,47.1125,78.8698,97.0365,100.987,113.279,81.6933,63.051,49.4834,52.0348,42.1461,30.6269,23.5274,25.0987,26.1004,15.5587,9.50851,8.39294,10.4401,11.6381,10.1152,5.36086,1.93058,2.77683,3.48251,4.12834,5.37678,7.53793,9.75564,10.0163,12.6401,18.486,28.4799,37.7374,32.3586
29.2564,14.4027,22.3899,22.4293,27.8263,35.095,49.2669,60.2444,34.9897,15.5358,19.3151,24.2079,24.6296,23.1142,18.6194,15.4838,14.2079,23.5305,40.0747,78.5882,120.892,155.014,164.263,170.876,184.839,132.309,102.57,73.4683,57.2308,54.0109,47.0464,35.7784,27.6698,38.2464,69.0091,78.4721,78.63,90.881,67.9666,52.1643,41.0637,43.9421,33.8348,23.8639,19.1274,22.1184,23.4951,13.9009,8.6208,7.75638,10.1862,11.722,9.37009,4.9888,1.87062,2.68209,3.58496,4.70111,6.81767,9.52475,11.5522,11.8709,15.3301,22.9402,36.546,51.7128,48.0319
