B0 MSY Fmsy Bmsy BT projSpawnBio projExpBio depB0 depBmsy
83.7085 3.1082 0.0742625 41.8543 27.6243 28.7402 28.7402 0.382752 0.765504
83.8782 3.07565 0.073336 41.9391 28.7786 29.9183 29.9183 0.356304 0.712608
83.8561 3.04959 0.0727339 41.9281 26.3951 27.3931 27.3931 0.342837 0.685674
85.5558 3.05742 0.0714718 42.7779 24.9369 25.8295 25.8295 0.300808 0.601617
83.8673 3.05093 0.0727561 41.9337 22.2847 23.0327 23.0327 0.26086 0.521719
82.6806 2.96221 0.0716544 41.3403 12.7958 12.7127 12.7127 0.14745 0.2949
82.6104 2.99482 0.0725046 41.3052 15.4075 15.592 15.592 0.204184 0.408369
82.301 3.01532 0.0732755 41.1505 16.6269 16.9383 16.9383 0.200419 0.400837
84.7862 3.00652 0.0709201 42.3931 23.126 23.8784 23.8784 0.263266 0.526532
85.1637 2.98114 0.0700096 42.5818 23.7321 24.496 24.496 0.305535 0.61107
84.6838 2.99656 0.0707706 42.3419 25.2887 26.1662 26.1662 0.319857 0.639714
85.1042 2.95797 0.0695142 42.5521 22.8948 23.5885 23.5885 0.268238 0.536476
84.446 2.9865 0.0707315 42.223 21.3774 22.0029 22.0029 0.242626 0.485251
83.9589 2.96087 0.0705315 41.9794 13.4309 13.3894 13.3894 0.159757 0.319515
82.9909 2.9238 0.0704607 41.4955 0.455858 0.321205 0.321205 0.00411946 0.00823891
83.8253 2.94939 0.07037 41.9127 6.82991 6.07981 6.07981 0.0690879 0.138176
84.4488 2.93575 0.0695274 42.2244 19.4041 19.8493 19.8493 0.232682 0.465365
82.9037 2.98483 0.0720073 41.4518 22.0644 22.7632 22.7632 0.290296 0.580592
83.1459 2.97969 0.0716737 41.573 23.4881 24.2709 24.2709 0.298838 0.597676
81.988 2.94386 0.071812 40.994 17.7973 18.1656 18.1656 0.191988 0.383976
82.8518 2.96602 0.0715982 41.4259 21.4419 22.0847 22.0847 0.298367 0.596734
82.4435 2.99999 0.0727768 41.2218 14.9991 15.1521 15.1521 0.186493 0.372986
84.0267 3.0117 0.0716844 42.0134 18.3149 18.7354 18.7354 0.233146 0.466291
84.0971 2.97533 0.0707595 42.0485 19.8768 20.3918 20.3918 0.266728 0.533457
83.0834 2.98068 0.0717514 41.5417 19.1067 19.585 19.585 0.2252 0.4504
84.1943 2.98196 0.0708352 42.0972 20.3869 20.9427 20.9427 0.261732 0.523463
83.404 2.98284 0.0715276 41.702 21.8236 22.4957 22.4957 0.267325 0.53465
81.6432 2.97697 0.0729265 40.8216 21.2049 21.8614 21.8614 0.269312 0.538625
81.1069 2.94818 0.0726986 40.5535 17.2719 17.6154 17.6154 0.219479 0.438957
80.3349 2.96674 0.0738593 40.1674 19.8073 20.3788 20.3788 0.288583 0.577165
80.4185 2.97461 0.0739783 40.2092 20.9921 21.6542 21.6542 0.267249 0.534498
83.736 2.9771 0.0711067 41.868 26.2613 27.1917 27.1917 0.329744 0.659488
83.0474 3.06515 0.0738169 41.5237 26.1742 27.1875 27.1875 0.360188 0.720377
83.8852 3.06519 0.0730806 41.9426 25.0211 25.9543 25.9543 0.334387 0.668774
83.0466 3.0389 0.0731855 41.5233 24.0111 24.8764 24.8764 0.312918 0.625835
83.9852 3.05157 0.0726692 41.9926 25.594 26.5472 26.5472 0.283551 0.567103
86.304 3.06068 0.0709279 43.152 23.087 23.8529 23.8529 0.263352 0.526705
84.5121 3.04835 0.0721399 42.2561 19.1442 19.6476 19.6476 0.215498 0.430996
82.3896 3.08301 0.0748398 41.1948 8.82097 8.3669 8.3669 0.0939152 0.18783
83.0741 3.0877 0.074336 41.5371 0.332037 0.30752 0.30752 0.00365467 0.00730934
83.4407 3.08526 0.0739508 41.7204 0.409609 0.316143 0.316143 0.00399561 0.00799122
82.9906 3.09817 0.0746632 41.4953 6.82795 6.13063 6.13063 0.070647 0.141294
83.6069 3.12253 0.0746955 41.8035 0.315035 0.305707 0.305707 0.00366134 0.00732267
81.9891 3.08128 0.0751631 40.9945 3.50397 2.37517 2.37517 0.025513 0.051026
81.1835 3.06687 0.0755541 40.5918 6.90598 6.22773 6.22773 0.071754 0.143508
81.1835 3.06687 0.0755541 40.5918 6.90598 6.22773 6.22773 0.0750927 0.150185
80.6829 3.08677 0.076516 40.3414 0.319647 0.306311 0.306311 0.0036243 0.00724861
79.4213 3.08071 0.0775789 39.7106 0.622572 0.343099 0.343099 0.00449922 0.00899844
79.0158 3.07904 0.0779347 39.5079 0.363845 0.311262 0.311262 0.00390193 0.00780387
78.4559 3.0347 0.0773606 39.228 0.322115 0.306629 0.306629 0.00364496 0.00728992
78.064 3.08906 0.0791417 39.032 0.323451 0.306881 0.306881 0.0035584 0.0071168
79.7058 3.08494 0.0774083 39.8529 0.324602 0.306902 0.306902 0.00378631 0.00757261
80.7239 3.06756 0.0760012 40.362 0.323248 0.30667 0.30667 0.00380443 0.00760886
80.8064 3.05269 0.0755556 40.4032 0.323928 0.306716 0.306716 0.00386069 0.00772138
82.3069 3.09551 0.0752186 41.1535 0.32467 0.306776 0.306776 0.00360668 0.00721336
81.0163 3.07184 0.0758327 40.5082 0.326235 0.306983 0.306983 0.00402704 0.00805408
84.7005 3.11757 0.073614 42.3503 0.32859 0.307102 0.307102 0.00416203 0.00832406
82.1219 3.07951 0.0749985 41.0609 0.329727 0.307311 0.307311 0.00375753 0.00751506
83.7095 3.11682 0.0744675 41.8548 0.330293 0.307339 0.307339 0.00379966 0.00759933
85.1636 3.13134 0.0735372 42.5818 0.330505 0.307305 0.307305 0.00351512 0.00703025
81.8111 3.10228 0.0758401 40.9056 0.330111 0.307404 0.307404 0.00384623 0.00769247
77.278 3.11548 0.0806303 38.639 0.336208 0.308372 0.308372 0.00410886 0.00821773
78.4513 3.10497 0.0791565 39.2256 0.330546 0.307657 0.307657 0.00412645 0.0082529
79.7159 3.07655 0.0771878 39.8579 0.329477 0.307419 0.307419 0.00335315 0.0067063
79.2978 3.05924 0.0771582 39.6489 0.328947 0.307359 0.307359 0.00356842 0.00713683
80.3282 3.08825 0.0768909 40.1641 0.328639 0.307309 0.307309 0.00392673 0.00785346
79.9948 3.03737 0.0759392 39.9974 0.329488 0.307342 0.307342 0.00453925 0.0090785
81.2199 2.99268 0.0736933 40.61 0.325645 0.306788 0.306788 0.00370499 0.00740999
80.8717 2.99711 0.0741202 40.4358 0.32423 0.306662 0.306662 0.00354148 0.00708296
83.8631 3.00115 0.0715725 41.9315 0.323558 0.306436 0.306436 0.00359189 0.00718379
86.1175 3.01115 0.0699311 43.0588 0.325133 0.306505 0.306505 0.00364871 0.00729742
81.9498 3.01509 0.0735839 40.9749 0.328442 0.307084 0.307084 0.00401102 0.00802204
80.0937 3.04427 0.0760177 40.0468 0.330799 0.30749 0.30749 0.00322811 0.00645621
80.5573 3.04588 0.0756203 40.2787 0.330013 0.30738 0.30738 0.00404486 0.00808971
80.1068 3.01628 0.0753066 40.0534 0.328822 0.307231 0.307231 0.00376379 0.00752757
80.8525 3.02924 0.0749326 40.4263 0.329646 0.307297 0.307297 0.00420398 0.00840796
